
0.0.0	0.63.*	山东省济南市
173.128.0	173.131.*	山东省临沂市
173.132.0	173.135.*	山东省东营市
173.136.0	173.139.*	山东省济宁市
173.140.0	173.144.*	山东省
173.145.0	173.149.*	山东省潍坊市
173.150.0	173.155.*	山东省
173.156.0	173.157.*	山东省日照市
173.158.0	173.158.*	山东省青岛市
173.159.0	173.160.*	山东省日照市
173.161.0	173.177.*	山东省
173.178.0	173.178.*	山东省枣庄市
173.179.0	173.183.*	山东省
173.184.0	173.187.*	山东省东营市
173.188.0	173.199.*	山东省
173.200.0	173.202.*	山东省烟台市
173.203.0	173.207.*	山东省
173.208.0	173.211.*	山东省泰安市
173.212.0	173.215.*	山东省青岛市
173.216.0	173.216.13	山东省淄博市
173.216.14	173.216.14	山东省烟台市
173.216.15	173.219.*	山东省淄博市
173.220.0	173.234.*	山东省烟台市
173.235.0	173.239.*	山东省
173.240.0	173.243.*	山东省青岛市
173.244.0	173.*.*	山东省烟台市
174.0.0	174.15.*	北京市
174.16.0	174.16.34	山东省泰安市
174.16.35	174.16.35	浙江省宁波市
174.16.36	174.17.*	山东省泰安市
174.18.0	174.19.*	北京市
174.20.0	174.20.*	中国
174.21.0	174.21.*	宁夏银川市
174.22.0	174.127.*	中国
174.128.0	174.135.*	江苏省泰州市
174.136.0	174.139.*	江苏省淮安市
174.140.0	174.143.*	江苏省南通市
174.144.0	174.145.*	江苏省常州市
174.146.0	174.151.*	江苏省连云港市
174.152.0	174.159.*	江苏省苏州市
174.160.0	174.163.*	江苏省扬州市
174.164.0	174.167.*	江苏省南通市
174.168.0	174.171.*	江苏省南京市
174.172.0	174.179.*	江苏省无锡市
174.180.0	174.191.*	江苏省苏州市
174.192.0	174.214.*	江苏省南京市
174.215.0	174.215.*	江苏省宿迁市
174.216.0	174.223.*	江苏省南京市
174.224.0	174.*.*	江苏省徐州市
175.0.0	175.26.*	山东省聊城市
175.27.0	175.39.*	福建省
175.40.0	175.47.*	福建省厦门市
175.48.0	175.49.*	福建省宁德市
175.50.0	175.55.*	福建省
175.56.0	175.61.*	福建省南平市
175.62.0	175.62.*	福建省武夷山市
175.63.0	175.63.*	福建省南平市
175.64.0	175.103.*	福建省
175.104.0	175.107.*	福建省漳州市
175.108.0	175.115.*	福建省
175.116.0	175.117.*	福建省龙岩市
175.118.0	175.118.*	福建省厦门市
175.119.0	175.125.*	福建省龙岩市
175.126.0	175.127.*	福建省宁德市
175.128.0	175.157.*	福建省
175.158.0	175.158.*	福建省龙岩市
175.159.0	175.217.*	福建省
175.218.0	175.218.*	福建省莆田市
175.219.0	175.*.*	福建省
176.0.0	176.31.*	北京市
176.32.0	176.79.*	江西省
176.80.0	176.95.*	海南省
176.96.0	176.127.*	河南省
176.128.0	176.135.*	河南省洛阳市
176.136.0	176.143.*	河南省开封市
176.144.0	176.151.*	河南省新乡市
176.152.0	176.159.*	河南省焦作市
176.160.0	176.164.*	河南省信阳市
176.165.0	176.167.*	河南省
176.168.0	176.175.*	河南省南阳市
176.176.0	176.183.*	河南省开封市
176.184.0	176.191.*	河南省
176.192.0	176.199.*	河南省平顶山市
176.200.0	176.207.*	河南省
176.208.0	176.215.*	河南省许昌市
176.216.0	176.221.*	河南省
176.222.0	176.222.33	河南省驻马店市
176.222.34	176.222.34	河南省驻马店市汝南县
176.222.35	176.223.117	河南省驻马店市
176.223.118	176.223.118	河南省驻马店市新蔡县
176.223.119	176.223.*	河南省驻马店市
176.224.0	176.231.*	河南省漯河市
176.232.0	176.239.*	河南省洛阳市
176.240.0	176.*.*	河南省
177.0.0	177.11.*	北京市
177.12.0	177.15.*	山东省青岛市
177.16.0	177.135.*	北京市
177.136.0	177.136.*	江苏省
177.137.0	177.*.*	北京市
178.0.0	178.35.231	重庆市
178.35.232	178.35.232	重庆市渝中区
178.35.233	178.48.*	重庆市
178.49.0	178.49.*	重庆市南岸区
178.50.0	178.64.*	重庆市
178.65.0	178.66.*	重庆市涪陵区
178.67.0	178.127.*	重庆市
178.128.0	178.155.*	江苏省
178.156.0	178.156.*	江苏省南京市
178.157.0	178.170.*	江苏省
178.171.0	178.171.*	江苏省泰州市
178.172.0	178.176.*	江苏省
178.177.0	178.177.*	江苏省镇江市
178.178.0	178.218.*	江苏省
178.219.0	178.219.*	江苏省南通市
178.220.0	178.226.*	江苏省
178.227.0	178.227.*	江苏省苏州市
178.228.0	178.246.*	江苏省
178.247.0	178.247.*	江苏省盐城市
178.248.0	178.*.*	江苏省
179.0.0	179.104.*	广东省
179.105.0	179.105.*	广东省阳江市
179.106.0	179.127.*	广东省
179.128.0	179.180.*	北京市
179.181.0	179.181.*	重庆市
179.182.0	179.*.*	北京市
180.0.0	180.63.*	山西省
180.64.0	180.*.*	辽宁省
181.0.0	181.63.*	新疆
181.64.0	181.127.*	上海市
181.128.0	181.161.*	江苏省
181.162.0	181.162.*	江苏省扬州市
181.163.0	181.179.*	江苏省
181.180.0	181.180.*	江苏省丹阳市
181.181.0	181.235.*	江苏省
181.236.0	181.236.*	江苏省连云港市
181.237.0	181.243.*	江苏省
181.244.0	181.244.*	江苏省常州市
181.245.0	181.*.*	江苏省
182.0.0	182.63.*	四川省成都市
182.64.0	182.127.*	四川省
182.128.0	183.*.*	海南省
184.0.0	191.*.*	日本
192.0.0	192.54.*	河北省石家庄市
192.55.0	192.55.*	河北省
192.56.0	192.56.*	河北省邯郸市武安市
192.57.0	192.63.*	河北省邯郸市
192.64.0	192.121.*	河北省唐山市
192.122.0	192.127.*	河北省
192.128.0	192.155.*	河北省廊坊市
192.156.0	192.159.*	河北省
192.160.0	192.164.69	河北省保定市
192.164.70	192.164.70	河北省保定市安国市
192.164.71	192.164.169	河北省保定市
192.164.170	192.164.170	河北省保定市安国市
192.164.171	192.167.*	河北省保定市
192.168.0	192.171.*	河北省邢台市
192.172.0	192.182.1	河北省石家庄市
192.182.2	192.182.2	河北省石家庄市晋州市
192.182.3	192.182.5	河北省石家庄市
192.182.6	192.182.6	河北省石家庄市晋州市
192.182.7	192.182.9	河北省石家庄市
192.182.10	192.182.10	河北省石家庄市晋州市
192.182.11	192.182.13	河北省石家庄市
192.182.14	192.182.14	河北省石家庄市晋州市
192.182.15	192.182.15	河北省石家庄市
192.182.16	192.182.16	河北省石家庄市晋州市
192.182.17	192.182.17	河北省石家庄市
192.182.18	192.182.18	河北省石家庄市晋州市
192.182.19	192.182.21	河北省石家庄市
192.182.22	192.182.22	河北省石家庄市晋州市
192.182.23	192.182.25	河北省石家庄市
192.182.26	192.182.26	河北省石家庄市晋州市
192.182.27	192.182.29	河北省石家庄市
192.182.30	192.182.30	河北省石家庄市晋州市
192.182.31	192.182.37	河北省石家庄市
192.182.38	192.182.38	河北省石家庄市晋州市
192.182.39	192.182.49	河北省石家庄市
192.182.50	192.182.50	河北省石家庄市晋州市
192.182.51	192.182.53	河北省石家庄市
192.182.54	192.182.54	河北省石家庄市晋州市
192.182.55	192.182.57	河北省石家庄市
192.182.58	192.182.58	河北省石家庄市晋州市
192.182.59	192.182.137	河北省石家庄市
192.182.138	192.182.138	河北省石家庄市晋州市
192.182.139	192.191.*	河北省石家庄市
192.192.0	192.192.*	河北省
192.193.0	192.194.1	河北省保定市
192.194.2	192.194.2	河北省保定市安国市
192.194.3	192.194.5	河北省保定市
192.194.6	192.194.6	河北省保定市安国市
192.194.7	192.194.9	河北省保定市
192.194.10	192.194.10	河北省保定市安国市
192.194.11	192.194.17	河北省保定市
192.194.18	192.194.18	河北省保定市安国市
192.194.19	192.194.21	河北省保定市
192.194.22	192.194.22	河北省保定市安国市
192.194.23	192.194.25	河北省保定市
192.194.26	192.194.26	河北省保定市安国市
192.194.27	192.194.29	河北省保定市
192.194.30	192.194.30	河北省保定市安国市
192.194.31	192.194.33	河北省保定市
192.194.34	192.194.34	河北省保定市安国市
192.194.35	192.194.41	河北省保定市
192.194.42	192.194.42	河北省保定市安国市
192.194.43	192.194.61	河北省保定市
192.194.62	192.194.62	河北省保定市安国市
192.194.63	192.194.73	河北省保定市
192.194.74	192.194.74	河北省保定市安国市
192.194.75	192.194.81	河北省保定市
192.194.82	192.194.82	河北省保定市安国市
192.194.83	192.228.81	河北省保定市
192.228.82	192.228.82	河北省涿州市
192.228.83	192.237.1	河北省保定市
192.237.2	192.237.2	河北省
192.237.3	192.247.168	河北省保定市
192.247.169	192.247.169	河北省高碑店市
192.247.170	192.*.*	河北省保定市
193.0.0	193.34.29	河北省沧州市
193.34.30	193.34.30	河北省沧州市河间市
193.34.31	193.42.232	河北省沧州市
193.42.233	193.42.233	河北省泊头市
193.42.234	193.63.*	河北省沧州市
193.64.0	193.127.*	河北省沧州市任丘市
193.128.0	193.143.*	河北省承德市
193.144.0	193.153.*	河北省张家口市
193.154.0	193.154.110	河北省张家口市张北县
193.154.111	193.154.111	河北省张家口市
193.154.112	193.154.112	河北省张家口市张北县
193.154.113	193.154.136	河北省张家口市
193.154.137	193.154.137	河北省张家口市张北县
193.154.138	193.159.*	河北省张家口市
193.160.0	193.*.*	河北省邯郸市
194.0.0	194.7.1	河北省石家庄市
194.7.2	194.7.2	河北省石家庄市赞皇县
194.7.3	194.7.5	河北省石家庄市
194.7.6	194.7.6	河北省石家庄市赞皇县
194.7.7	194.7.9	河北省石家庄市
194.7.10	194.7.10	河北省石家庄市赞皇县
194.7.11	194.7.13	河北省石家庄市
194.7.14	194.7.14	河北省石家庄市赞皇县
194.7.15	194.7.17	河北省石家庄市
194.7.18	194.7.18	河北省石家庄市赞皇县
194.7.19	194.7.21	河北省石家庄市
194.7.22	194.7.22	河北省石家庄市赞皇县
194.7.23	194.7.25	河北省石家庄市
194.7.26	194.7.26	河北省石家庄市赞皇县
194.7.27	194.7.29	河北省石家庄市
194.7.30	194.7.30	河北省石家庄市赞皇县
194.7.31	194.7.37	河北省石家庄市
194.7.38	194.7.38	河北省石家庄市赞皇县
194.7.39	194.7.41	河北省石家庄市
194.7.42	194.7.42	河北省石家庄市赞皇县
194.7.43	194.7.45	河北省石家庄市
194.7.46	194.7.46	河北省石家庄市赞皇县
194.7.47	194.7.49	河北省石家庄市
194.7.50	194.7.54	河北省石家庄市赞皇县
194.7.55	194.7.61	河北省石家庄市
194.7.62	194.7.62	河北省石家庄市赞皇县
194.7.63	194.7.65	河北省石家庄市
194.7.66	194.7.66	河北省石家庄市赞皇县
194.7.67	194.7.69	河北省石家庄市
194.7.70	194.7.70	河北省石家庄市赞皇县
194.7.71	194.7.77	河北省石家庄市
194.7.78	194.7.78	河北省石家庄市赞皇县
194.7.79	194.7.81	河北省石家庄市
194.7.82	194.7.82	河北省石家庄市赞皇县
194.7.83	194.7.83	河北省石家庄市
194.7.84	194.7.84	河北省石家庄市赞皇县
194.7.85	194.7.85	河北省石家庄市
194.7.86	194.7.88	河北省石家庄市赞皇县
194.7.89	194.7.89	河北省石家庄市
194.7.90	194.7.91	河北省石家庄市赞皇县
194.7.92	194.15.*	河北省石家庄市
194.16.0	194.16.117	河北省秦皇岛市
194.16.118	194.16.118	河北省秦皇岛市海港区
194.16.119	194.16.189	河北省秦皇岛市
194.16.190	194.16.190	河北省秦皇岛市海港区
194.16.191	194.16.193	河北省秦皇岛市
194.16.194	194.16.194	河北省秦皇岛市海港区
194.16.195	194.16.213	河北省秦皇岛市
194.16.214	194.16.214	河北省秦皇岛市海港区
194.16.215	194.19.165	河北省秦皇岛市
194.19.166	194.19.166	河北省秦皇岛市海港区
194.19.167	194.21.65	河北省秦皇岛市
194.21.66	194.21.66	河北省秦皇岛市海港区
194.21.67	194.22.171	河北省秦皇岛市
194.22.172	194.22.172	河北省秦皇岛市海港区
194.22.173	194.22.209	河北省秦皇岛市
194.22.210	194.22.210	河北省秦皇岛市海港区
194.22.211	194.28.189	河北省秦皇岛市
194.28.190	194.28.190	河北省秦皇岛市海港区
194.28.191	194.31.*	河北省秦皇岛市
194.32.0	194.63.*	河北省保定市
194.64.0	194.77.2	河北省唐山市
194.77.3	194.77.5	河北省唐山市乐亭县
194.77.6	194.77.6	河北省唐山市
194.77.7	194.77.7	河北省唐山市乐亭县
194.77.8	194.77.8	河北省唐山市
194.77.9	194.77.10	河北省唐山市乐亭县
194.77.11	194.79.165	河北省唐山市
194.79.166	194.79.166	河北省唐山市乐亭县
194.79.167	194.91.*	河北省唐山市
194.92.0	194.93.*	河北省
194.94.0	194.94.*	河北省唐山市
194.95.0	194.95.241	河北省秦皇岛市
194.95.242	194.95.242	河北省秦皇岛市燕山大学
194.95.243	194.95.*	河北省秦皇岛市
194.96.0	194.102.241	河北省唐山市
194.102.242	194.102.242	河北省唐山市乐亭县
194.102.243	194.106.141	河北省唐山市
194.106.142	194.106.142	河北省唐山市乐亭县
194.106.143	194.127.*	河北省唐山市
194.128.0	194.136.234	河北省廊坊市
194.136.235	194.136.248	奇虎qihoo蜘蛛
194.136.249	194.140.*	河北省廊坊市
194.141.0	194.143.*	河北省
194.144.0	194.144.*	河北省廊坊市
194.145.0	194.151.*	河北省沧州市
194.152.0	194.152.*	河北省沧州市任丘市
194.153.0	194.159.*	河北省沧州市
194.160.0	194.171.*	河北省承德市
194.172.0	194.174.*	河北省
194.175.0	194.175.*	河北省廊坊市
194.176.0	194.180.33	河北省邢台市
194.180.34	194.180.35	河北省邢台市沙河市
194.180.36	194.180.44	河北省邢台市
194.180.45	194.180.45	河北省邢台市沙河市
194.180.46	194.180.53	河北省邢台市
194.180.54	194.180.54	河北省邢台市沙河市
194.180.55	194.180.74	河北省邢台市
194.180.75	194.180.75	河北省邢台市清河县
194.180.76	194.189.*	河北省邢台市
194.190.0	194.191.*	河北省
194.192.0	194.224.*	河北省衡水市
194.225.0	194.230.*	河北省邯郸市
194.231.0	194.239.*	河北省衡水市
194.240.0	194.241.21	河北省张家口市
194.241.22	194.241.22	河北省张家口市明德北
194.241.23	194.241.25	河北省张家口市
194.241.26	194.241.26	河北省张家口市明德北
194.241.27	194.241.53	河北省张家口市
194.241.54	194.241.54	河北省张家口市明德北
194.241.55	194.241.57	河北省张家口市
194.241.58	194.241.58	河北省张家口市明德北
194.241.59	194.241.61	河北省张家口市
194.241.62	194.241.62	河北省张家口市明德北
194.241.63	194.244.17	河北省张家口市
194.244.18	194.244.18	河北省张家口市宣化区
194.244.19	194.244.21	河北省张家口市
194.244.22	194.244.22	河北省张家口市宣化区
194.244.23	194.244.25	河北省张家口市
194.244.26	194.244.26	河北省张家口市宣化区
194.244.27	194.244.105	河北省张家口市
194.244.106	194.244.106	河北省张家口市宣化区
194.244.107	194.244.109	河北省张家口市
194.244.110	194.244.110	河北省张家口市宣化区
194.244.111	194.244.229	河北省张家口市
194.244.230	194.244.230	河北省张家口市宣化区
194.244.231	194.244.245	河北省张家口市
194.244.246	194.244.246	河北省张家口市宣化区
194.244.247	194.244.253	河北省张家口市
194.244.254	194.244.254	河北省张家口市宣化区
194.244.*	194.245.1	河北省张家口市
194.245.2	194.245.3	河北省张家口市宣化区
194.245.4	194.245.5	河北省张家口市
194.245.6	194.245.6	河北省张家口市宣化区
194.245.7	194.245.21	河北省张家口市
194.245.22	194.245.22	河北省张家口市宣化区
194.245.23	194.245.33	河北省张家口市
194.245.34	194.245.34	河北省张家口市宣化区
194.245.35	194.245.37	河北省张家口市
194.245.38	194.245.38	河北省张家口市宣化区
194.245.39	194.245.45	河北省张家口市
194.245.46	194.245.46	河北省张家口市宣化区
194.245.47	194.245.49	河北省张家口市
194.245.50	194.245.50	河北省张家口市宣化区
194.245.51	194.245.53	河北省张家口市
194.245.54	194.245.54	河北省张家口市宣化区
194.245.55	194.245.61	河北省张家口市
194.245.62	194.245.62	河北省张家口市宣化区
194.245.63	194.245.65	河北省张家口市
194.245.66	194.245.66	河北省张家口市宣化区
194.245.67	194.245.69	河北省张家口市
194.245.70	194.245.70	河北省张家口市宣化区
194.245.71	194.245.85	河北省张家口市
194.245.86	194.245.86	河北省张家口市宣化区
194.245.87	194.245.93	河北省张家口市
194.245.94	194.245.94	河北省张家口市宣化区
194.245.95	194.245.97	河北省张家口市
194.245.98	194.245.98	河北省张家口市宣化区
194.245.99	194.245.101	河北省张家口市
194.245.102	194.245.102	河北省张家口市宣化区
194.245.103	194.245.105	河北省张家口市
194.245.106	194.245.106	河北省张家口市宣化区
194.245.107	194.245.109	河北省张家口市
194.245.110	194.245.110	河北省张家口市宣化区
194.245.111	194.245.117	河北省张家口市
194.245.118	194.245.118	河北省张家口市宣化区
194.245.119	194.245.139	河北省张家口市
194.245.140	194.245.140	河北省张家口市宣化区
194.245.141	194.245.201	河北省张家口市
194.245.202	194.245.202	河北省张家口市宣化区
194.245.203	194.245.213	河北省张家口市
194.245.214	194.245.214	河北省张家口市宣化区
194.245.215	194.245.221	河北省张家口市
194.245.222	194.245.222	河北省张家口市宣化区
194.245.223	194.245.229	河北省张家口市
194.245.230	194.245.230	河北省张家口市宣化区
194.245.231	194.246.33	河北省张家口市
194.246.34	194.246.35	河北省张家口市怀来县
194.246.36	194.247.149	河北省张家口市
194.247.150	194.247.150	河北省张家口市怀来县
194.247.151	194.247.161	河北省张家口市
194.247.162	194.247.162	河北省张家口市怀来县
194.247.163	194.247.181	河北省张家口市
194.247.182	194.247.182	河北省张家口市怀来县
194.247.183	194.247.189	河北省张家口市
194.247.190	194.247.190	河北省张家口市怀来县
194.247.191	194.247.205	河北省张家口市
194.247.206	194.247.206	河北省张家口市怀来县
194.247.207	194.247.221	河北省张家口市
194.247.222	194.247.222	河北省张家口市怀来县
194.247.223	194.247.229	河北省张家口市
194.247.230	194.247.230	河北省张家口市怀来县
194.247.231	194.247.249	河北省张家口市
194.247.250	194.247.250	河北省张家口市怀来县
194.247.251	194.250.132	河北省张家口市
194.250.133	194.250.133	河北省张家口市怀来县
194.250.134	194.250.*	河北省张家口市
194.251.0	194.251.*	河北省衡水市
194.252.0	194.*.*	河北省
195.0.0	195.35.47	河北省沧州市
195.35.48	195.35.48	河北省黄骅市
195.35.49	195.40.*	河北省沧州市
195.41.0	195.41.2	河北省黄骅市
195.41.3	195.41.15	河北省沧州市
195.41.16	195.41.21	河北省黄骅市
195.41.22	195.41.49	河北省沧州市
195.41.50	195.41.51	河北省黄骅市
195.41.52	195.41.66	河北省沧州市
195.41.67	195.41.68	河北省黄骅市
195.41.69	195.41.69	河北省沧州市
195.41.70	195.41.77	河北省黄骅市
195.41.78	195.41.81	河北省沧州市
195.41.82	195.41.82	河北省黄骅市
195.41.83	195.41.84	河北省沧州市
195.41.85	195.41.88	河北省黄骅市
195.41.89	195.41.89	河北省沧州市
195.41.90	195.41.90	河北省黄骅市
195.41.91	195.41.97	河北省沧州市
195.41.98	195.41.110	河北省黄骅市
195.41.111	195.41.129	河北省沧州市
195.41.130	195.41.136	河北省黄骅市
195.41.137	195.41.145	河北省沧州市
195.41.146	195.41.147	河北省黄骅市
195.41.148	195.41.161	河北省沧州市
195.41.162	195.41.166	河北省黄骅市
195.41.167	195.41.177	河北省沧州市
195.41.178	195.41.180	河北省黄骅市
195.41.181	195.41.181	河北省沧州市
195.41.182	195.41.185	河北省黄骅市
195.41.186	195.41.193	河北省沧州市
195.41.194	195.41.205	河北省黄骅市
195.41.206	195.41.209	河北省沧州市
195.41.210	195.41.221	河北省黄骅市
195.41.222	195.41.241	河北省沧州市
195.41.242	195.41.243	河北省黄骅市
195.41.244	195.42.1	河北省沧州市
195.42.2	195.42.6	河北省黄骅市
195.42.7	195.42.7	河北省沧州市
195.42.8	195.42.9	河北省黄骅市
195.42.10	195.42.11	河北省沧州市
195.42.12	195.42.12	河北省黄骅市
195.42.13	195.42.17	河北省沧州市
195.42.18	195.42.26	河北省黄骅市
195.42.27	195.42.33	河北省沧州市
195.42.34	195.42.34	河北省黄骅市
195.42.35	195.42.49	河北省沧州市
195.42.50	195.42.53	河北省黄骅市
195.42.54	195.42.97	河北省沧州市
195.42.98	195.42.126	河北省黄骅市
195.42.127	195.42.129	河北省沧州市
195.42.130	195.42.130	河北省黄骅市
195.42.131	195.42.145	河北省沧州市
195.42.146	195.42.146	河北省黄骅市
195.42.147	195.42.149	河北省沧州市
195.42.150	195.42.150	河北省黄骅市
195.42.151	195.42.161	河北省沧州市
195.42.162	195.42.166	河北省黄骅市
195.42.167	195.42.177	河北省沧州市
195.42.178	195.42.179	河北省黄骅市
195.42.180	195.42.193	河北省沧州市
195.42.194	195.42.194	河北省黄骅市
195.42.195	195.42.209	河北省沧州市
195.42.210	195.42.210	河北省黄骅市
195.42.211	195.43.1	河北省沧州市
195.43.2	195.43.2	河北省黄骅市
195.43.3	195.66.145	河北省沧州市
195.66.146	195.66.146	河北省沧州市任丘市
195.66.147	195.68.*	河北省沧州市
195.69.0	195.73.*	河北省沧州市任丘市
195.74.0	195.75.*	河北省沧州市河间市
195.76.0	195.76.144	河北省沧州市
195.76.145	195.76.145	河北省泊头市
195.76.146	195.76.*	河北省沧州市
195.77.0	195.77.134	河北省泊头市
195.77.135	195.77.135	河北省沧州市
195.77.136	195.78.7	河北省泊头市
195.78.8	195.78.8	河北省沧州市
195.78.9	195.78.11	河北省泊头市
195.78.12	195.78.12	河北省沧州市
195.78.13	195.78.90	河北省泊头市
195.78.91	195.78.91	河北省沧州市
195.78.92	195.79.*	河北省泊头市
195.80.0	195.82.*	河北省沧州市任丘市
195.83.0	195.88.*	河北省沧州市
195.89.0	195.91.*	河北省泊头市
195.92.0	195.102.*	河北省沧州市
195.103.0	195.104.*	河北省沧州市任丘市
195.105.0	195.105.*	河北省沧州市
195.106.0	195.106.182	河北省沧州市任丘市
195.106.183	195.106.*	河北省沧州市河间市
195.107.0	195.107.*	河北省沧州市任丘市
195.108.0	195.108.*	河北省沧州市
195.109.0	195.110.*	河北省沧州市任丘市
195.111.0	195.111.*	河北省沧州市
195.112.0	195.117.*	河北省沧州市任丘市
195.118.0	195.118.*	河北省沧州市
195.119.0	195.123.*	河北省沧州市河间市
195.124.0	195.124.*	河北省沧州市任丘市
195.125.0	195.127.*	河北省沧州市河间市
195.128.0	195.162.*	河北省沧州市
195.163.0	195.163.*	河北省沧州市任丘市
195.164.0	195.*.*	河北省沧州市
196.0.0	196.0.*	天津市河北区
196.1.0	196.1.*	天津市南开区
196.2.0	196.2.*	天津市河西区
196.3.0	196.3.*	天津市
196.4.0	196.4.117	天津市南开区
196.4.118	196.4.118	天津市
196.4.119	196.8.*	天津市南开区
196.9.0	196.9.*	天津市河西区
196.10.0	196.12.0	天津市南开区
196.12.1	196.12.1	天津市
196.12.2	196.12.*	天津市南开区
196.13.0	196.15.*	天津市滨海新区
196.16.0	196.16.239	天津市宁河县
196.16.240	196.16.240	天津市滨海新区
196.16.241	196.17.*	天津市宁河县
196.18.0	196.19.*	天津市滨海新区
196.20.0	196.20.178	天津市
196.20.179	196.20.179	天津市滨海新区
196.20.180	196.20.*	天津市
196.21.0	196.21.169	天津市滨海新区
196.21.170	196.21.*	天津市
196.22.0	196.23.*	天津市滨海新区
196.24.0	196.25.*	天津市
196.26.0	196.26.*	天津市滨海新区
196.27.0	196.27.*	天津市
196.28.0	196.28.*	天津市河北区
196.29.0	196.29.*	天津市
196.30.0	196.30.*	天津市红桥区
196.31.0	196.31.*	天津市
196.32.0	196.33.*	天津市河西区
196.34.0	196.34.*	天津市滨海新区
196.35.0	196.35.*	天津市
196.36.0	196.36.*	天津市滨海新区
196.37.0	196.37.*	天津市河西区
196.38.0	196.39.*	天津市宝坻区
196.40.0	196.41.*	天津市和平区
196.42.0	196.42.*	天津市北辰区
196.43.0	196.50.*	天津市南开区
196.51.0	196.51.*	天津市武清区
196.52.0	196.54.*	天津市南开区
196.55.0	196.55.*	天津市武清区
196.56.0	196.58.*	天津市
196.59.0	196.61.*	天津市河西区
196.62.0	196.62.*	天津市武清区
196.63.0	196.63.*	天津市河西区
196.64.0	196.65.*	天津市武清区
196.66.0	196.71.*	天津市河西区
196.72.0	196.72.*	天津市南开区
196.73.0	196.80.*	天津市河西区
196.81.0	196.81.*	天津市
196.82.0	196.82.*	天津市南开区
196.83.0	196.83.*	天津市北辰区
196.84.0	196.84.*	天津市和平区
196.85.0	196.86.*	天津市
196.87.0	196.87.*	天津市红桥区
196.88.0	196.90.*	天津市滨海新区
196.91.0	196.91.67	天津市塘沽区
196.91.68	196.91.68	天津市
196.91.69	196.91.*	天津市塘沽区
196.92.0	196.95.*	天津市
196.96.0	196.97.*	天津市和平区
196.98.0	196.98.*	天津市河东区
196.99.0	196.103.*	天津市和平区
196.104.0	196.104.*	天津市滨海新区
196.105.0	196.105.*	天津市
196.106.0	196.106.*	天津市津南区
196.107.0	196.107.*	天津市
196.108.0	196.108.*	天津市滨海新区
196.109.0	196.110.*	天津市
196.111.0	196.111.*	天津市南开区
196.112.0	196.113.*	天津市河东区
196.114.0	196.114.*	天津市河北区
196.115.0	196.115.*	天津市红桥区
196.116.0	196.119.*	天津市河东区
196.120.0	196.120.1	天津市武清区
196.120.2	196.120.2	天津市
196.120.3	196.120.*	天津市武清区
196.121.0	196.121.*	天津市宝坻区
196.122.0	196.122.*	天津市武清区
196.123.0	196.123.*	天津市南开区
196.124.0	196.124.*	天津市宝坻区
196.125.0	196.125.*	天津市武清区
196.126.0	196.127.*	天津市河北区
196.128.0	196.129.*	天津市河东区
196.130.0	196.139.*	天津市滨海新区
196.140.0	196.140.*	天津市河西区
196.141.0	196.141.*	天津市河东区
196.142.0	196.142.*	天津市南开区
196.143.0	196.143.*	天津市滨海新区
196.144.0	196.146.*	天津市河北区
196.147.0	196.147.*	天津市宝坻区
196.148.0	196.150.*	天津市河北区
196.151.0	196.151.*	天津市河西区
196.152.0	196.152.*	天津市武清区
196.153.0	196.154.*	天津市
196.155.0	196.155.*	天津市和平区
196.156.0	196.159.*	天津市滨海新区
196.160.0	196.163.*	天津市
196.164.0	196.164.*	天津市武清区
196.165.0	196.167.41	天津市
196.167.42	196.167.42	天津市西青区
196.167.43	196.167.*	天津市
196.168.0	196.169.*	天津市宝坻区
196.170.0	196.170.*	天津市静海县
196.171.0	196.172.*	天津市宝坻区
196.173.0	196.173.*	天津市河东区
196.174.0	196.174.*	天津市河西区
196.175.0	196.175.*	天津市宝坻区
196.176.0	196.178.*	天津市河西区
196.179.0	196.179.*	天津市宝坻区
196.180.0	196.180.*	天津市南开区
196.181.0	196.181.*	天津市宝坻区
196.182.0	196.182.*	天津市河西区
196.183.0	196.183.*	天津市和平区
196.184.0	196.195.*	天津市河东区
196.196.0	196.196.*	天津市津南区
196.197.0	196.199.*	天津市河东区
196.200.0	196.200.*	天津市和平区
196.201.0	196.202.*	天津市宝坻区
196.203.0	196.203.*	天津市南开区
196.204.0	196.204.*	天津市宝坻区
196.205.0	196.205.*	天津市北辰区
196.206.0	196.207.*	天津市宝坻区
196.208.0	196.209.*	天津市静海县
196.210.0	196.219.*	天津市宝坻区
196.220.0	196.220.*	天津市南开区
196.221.0	196.224.*	天津市
196.225.0	196.225.*	天津市红桥区
196.226.0	196.228.*	天津市
196.229.0	196.233.*	天津市红桥区
196.234.0	197.1.*	天津市
197.2.0	197.4.*	天津市河西区
197.5.0	197.5.*	天津市和平区
197.6.0	197.6.*	天津市河西区
197.7.0	197.7.*	天津市
197.8.0	197.8.*	天津市滨海新区
197.9.0	197.10.*	天津市
197.11.0	197.11.*	天津市南开区
197.12.0	197.16.*	天津市
197.17.0	197.23.*	天津市南开区
197.24.0	197.31.*	天津市和平区
197.32.0	197.33.*	天津市南开区
197.34.0	197.34.*	天津市河西区
197.35.0	197.48.*	天津市南开区
197.49.0	197.54.*	天津市
197.55.0	197.62.*	天津市河西区
197.63.0	197.63.*	天津市
197.64.0	197.79.*	天津市河东区
197.80.0	197.80.*	天津市河西区
197.81.0	197.89.*	天津市河东区
197.90.0	197.91.*	天津市滨海新区
