
5.0.0	5.*.*	菲律宾
72.155.94	72.155.94	青海省
72.155.95	72.159.*	青海省玉树州
72.160.0	72.160.246	青海省海北州
72.160.247	72.160.247	青海省西宁市
72.160.248	72.167.*	青海省海北州
72.168.0	72.173.*	青海省
72.174.0	72.188.*	青海省西宁市
72.189.0	72.191.*	青海省果洛州
72.192.0	72.192.1	青海省西宁市
72.192.2	72.192.2	青海省
72.192.3	72.208.117	青海省西宁市
72.208.118	72.208.118	青海省海西州
72.208.119	72.208.149	青海省西宁市
72.208.150	72.208.150	青海省海西州
72.208.151	72.223.*	青海省西宁市
72.224.0	72.235.*	青海省海西州
72.236.0	72.*.*	青海省
73.0.0	73.37.*	广西柳州市
73.38.0	73.39.*	广西来宾市
73.40.0	73.47.*	广西柳州市
73.48.0	73.95.*	广西桂林市
73.96.0	73.110.*	广西梧州市
73.111.0	73.112.*	广西岑溪市
73.113.0	73.114.*	广西
73.115.0	73.117.*	广西梧州市
73.118.0	73.119.*	广西
73.120.0	73.141.*	广西百色市
73.142.0	73.143.*	广西
73.144.0	73.159.*	广西防城港市
73.160.0	73.171.*	广西玉林市
73.172.0	73.175.*	广西
73.176.0	73.191.*	广西钦州市
73.192.0	73.214.*	广西河池市
73.215.0	73.216.*	广西
73.217.0	73.223.*	广西钦州市
73.224.0	73.231.*	广西贵港市
73.232.0	73.239.*	广西柳州市
73.240.0	73.247.*	广西桂平市
73.248.0	73.*.*	广西贵港市
74.0.0	74.82.*	甘肃省兰州市
74.83.0	74.83.*	甘肃省天水市
74.84.0	74.95.*	甘肃省兰州市
74.96.0	74.102.*	甘肃省嘉峪关市
74.103.0	74.106.*	甘肃省白银市
74.107.0	74.110.*	甘肃省嘉峪关市
74.111.0	74.120.*	甘肃省天水市
74.121.0	74.127.*	甘肃省庆阳市
74.128.0	74.132.*	甘肃省白银市
74.133.0	74.148.*	甘肃省张掖市
74.149.0	74.157.*	甘肃省武威市
74.158.0	74.158.*	甘肃省天水市
74.159.0	74.168.*	甘肃省金昌市
74.169.0	74.173.*	甘肃省天水市
74.174.0	74.182.*	甘肃省酒泉市
74.183.0	74.184.*	甘肃省天水市
74.185.0	74.189.*	甘肃省嘉峪关市
74.190.0	74.191.*	甘肃省天水市
74.192.0	74.200.*	甘肃省平凉市
74.201.0	74.206.*	甘肃省陇南市
74.207.0	74.215.*	甘肃省定西市
74.216.0	74.219.*	甘肃省临夏市
74.220.0	74.220.*	甘肃省天水市
74.221.0	74.221.*	甘肃省张掖市
74.222.0	74.223.*	甘肃省天水市
74.224.0	74.226.*	甘肃省平凉市
74.227.0	74.227.*	甘肃省张掖市
74.228.0	74.239.*	甘肃省兰州市
74.240.0	74.240.*	甘肃省平凉市
74.241.0	74.241.*	甘肃省天水市
74.242.0	74.242.*	甘肃省庆阳市
74.243.0	74.243.*	甘肃省武威市
74.244.0	74.246.*	甘肃省兰州市
74.247.0	74.247.*	甘肃省天水市
74.248.0	75.111.*	甘肃省兰州市
75.112.0	75.114.*	甘肃省天水市
75.115.0	75.115.*	甘肃省兰州市
75.116.0	75.117.*	甘肃省天水市
75.118.0	75.118.*	甘肃省玉门市
75.119.0	75.119.*	甘肃省甘南州
75.120.0	75.124.*	甘肃省天水市
75.125.0	75.125.*	甘肃省兰州市
75.126.0	75.126.*	甘肃省天水市
75.127.0	75.133.*	甘肃省兰州市
75.134.0	75.134.*	甘肃省定西市
75.135.0	75.147.*	甘肃省兰州市
75.148.0	75.148.*	甘肃省庆阳市
75.149.0	75.149.*	甘肃省兰州市
75.150.0	75.151.*	甘肃省庆阳市
75.152.0	75.168.*	甘肃省兰州市
75.169.0	75.169.*	甘肃省张掖市
75.170.0	75.179.*	甘肃省兰州市
75.180.0	75.180.*	甘肃省武威市
75.181.0	75.194.*	甘肃省兰州市
75.195.0	75.195.*	甘肃省金昌市
75.196.0	75.203.*	甘肃省兰州市
75.204.0	75.204.*	甘肃省酒泉市
75.205.0	75.207.*	甘肃省兰州市
75.208.0	75.209.*	甘肃省敦煌市
75.210.0	75.210.*	甘肃省酒泉市
75.211.0	75.212.*	甘肃省敦煌市
75.213.0	75.213.*	甘肃省玉门市
75.214.0	75.223.*	甘肃省兰州市
75.224.0	75.239.*	甘肃省平凉市
75.240.0	75.*.*	甘肃省兰州市
76.0.0	76.31.*	甘肃省嘉峪关市
76.32.0	76.114.123	甘肃省兰州市
76.114.124	76.114.124	甘肃省临夏市
76.114.125	76.127.*	甘肃省兰州市
76.128.0	76.155.*	陕西省渭南市
76.156.0	76.223.237	陕西省西安市
76.223.238	76.223.238	陕西省西安市长安区
76.223.239	76.*.*	陕西省西安市
77.0.0	77.123.25	福建省福州市
77.123.26	77.123.26	福建省福州市福清市
77.123.27	77.123.47	福建省福州市
77.123.48	77.123.49	福建省福州市福清市
77.123.50	77.124.4	福建省福州市
77.124.5	77.124.5	福建省福州市长乐市
77.124.6	77.127.*	福建省福州市
77.128.0	77.*.*	福建省厦门市
78.0.0	78.28.159	福建省泉州市
78.28.160	78.28.160	福建省泉州市晋江市
78.28.161	78.32.*	福建省泉州市
78.33.0	78.33.46	福建省泉州市晋江市
78.33.47	78.33.113	福建省泉州市
78.33.114	78.33.114	福建省泉州市晋江市
78.33.115	78.33.137	福建省泉州市
78.33.138	78.33.138	福建省泉州市晋江市
78.33.139	78.33.141	福建省泉州市
78.33.142	78.33.142	福建省泉州市晋江市
78.33.143	78.44.129	福建省泉州市
78.44.130	78.44.130	福建省泉州市晋江市
78.44.131	78.148.1	福建省泉州市
78.148.2	78.148.2	福建省泉州市晋江市
78.148.3	78.148.5	福建省泉州市
78.148.6	78.148.6	福建省泉州市晋江市
78.148.7	78.148.41	福建省泉州市
78.148.42	78.148.42	福建省泉州市晋江市
78.148.43	78.148.113	福建省泉州市
78.148.114	78.148.114	福建省泉州市晋江市
78.148.115	78.148.129	福建省泉州市
78.148.130	78.148.130	福建省泉州市晋江市
78.148.131	78.148.149	福建省泉州市
78.148.150	78.148.150	福建省泉州市晋江市
78.148.151	78.151.53	福建省泉州市
78.151.54	78.151.54	福建省泉州市晋江市
78.151.55	78.151.57	福建省泉州市
78.151.58	78.151.58	福建省泉州市晋江市
78.151.59	78.151.113	福建省泉州市
78.151.114	78.151.114	福建省泉州市晋江市
78.151.115	78.151.133	福建省泉州市
78.151.134	78.151.134	福建省泉州市晋江市
78.151.135	78.151.165	福建省泉州市
78.151.166	78.151.166	福建省晉江市
78.151.167	78.151.197	福建省泉州市
78.151.198	78.151.198	福建省泉州市晋江市
78.151.199	78.151.241	福建省泉州市
78.151.242	78.151.242	福建省泉州市晋江市
78.151.243	78.191.*	福建省泉州市
78.192.0	78.243.*	福建省莆田市
78.244.0	78.*.*	福建省
79.0.0	79.5.*	福建省漳州市
79.6.0	79.6.*	福建省厦门市
79.7.0	79.63.*	福建省漳州市
79.64.0	79.127.*	福建省
79.128.0	79.191.*	福建省三明市
79.192.0	79.*.*	福建省南平市
80.0.0	81.2.*	重庆市渝中区
81.3.0	81.15.*	重庆市沙坪坝区
81.16.0	81.23.*	重庆市涪陵区
81.24.0	81.32.*	重庆市渝中区
81.33.0	81.33.*	重庆市合川区
81.34.0	81.40.*	重庆市渝中区
81.41.0	81.42.*	重庆市铜梁县
81.43.0	81.79.*	重庆市渝中区
81.80.0	81.81.*	重庆市万州区
81.82.0	81.82.*	重庆市万洲区
81.83.0	81.90.*	重庆市万州区
81.91.0	81.95.*	重庆市渝中区
81.96.0	81.98.*	重庆市巴南区
81.99.0	81.99.*	重庆市渝中区
81.100.0	81.100.*	重庆市巴南区
81.101.0	81.102.*	重庆市渝中区
81.103.0	81.103.*	重庆市巴南区
81.104.0	81.114.*	重庆市渝中区
81.115.0	81.115.*	重庆市万州区
81.116.0	81.119.*	重庆市渝中区
81.120.0	81.123.*	重庆市南川区
81.124.0	81.173.*	重庆市渝中区
81.174.0	81.174.*	重庆市万盛区
81.175.0	81.186.*	重庆市渝中区
81.187.0	81.187.*	重庆市江北区
81.188.0	81.200.*	重庆市渝中区
81.201.0	81.201.*	重庆市巴南区
81.202.0	81.220.*	重庆市渝中区
81.221.0	81.221.*	重庆市南岸区
81.222.0	82.11.*	重庆市渝中区
82.12.0	82.23.*	重庆市
82.24.0	82.24.*	重庆市渝中区
82.25.0	82.28.*	重庆市
82.29.0	82.29.*	重庆市江北区
82.30.0	82.114.*	重庆市
82.115.0	82.115.*	重庆市南川区
82.116.0	82.119.*	重庆市
82.120.0	82.120.*	重庆市南岸区
82.121.0	82.131.*	重庆市
82.132.0	82.132.*	重庆市南岸区
82.133.0	82.215.*	重庆市
82.216.0	82.221.*	重庆市江津区
82.222.0	82.223.*	重庆市
82.224.0	82.224.*	重庆市渝北区
82.225.0	82.229.*	重庆市
82.230.0	82.230.*	重庆市渝北区
82.231.0	82.235.*	重庆市
82.236.0	82.236.*	重庆市九龙坡区
82.237.0	82.240.*	重庆市
82.241.0	82.241.*	重庆市垫江县
82.242.0	82.247.*	重庆市
82.248.0	82.252.*	重庆市涪陵区
82.253.0	82.*.*	重庆市
83.0.0	83.1.*	重庆市渝北区
83.2.0	83.9.*	重庆市
83.10.0	83.10.*	重庆市江北区
83.11.0	83.20.*	重庆市
83.21.0	83.21.*	重庆市渝北区
83.22.0	83.25.*	重庆市
83.26.0	83.26.*	重庆市大渡口区
83.27.0	83.32.*	重庆市
83.33.0	83.33.*	重庆市渝中区
83.34.0	83.43.*	重庆市
83.44.0	83.52.*	重庆市渝中区
83.53.0	83.56.*	重庆市
83.57.0	83.57.*	重庆市渝中区
83.58.0	83.64.*	重庆市
83.65.0	83.65.*	重庆市北碚区
83.66.0	83.67.*	重庆市
83.68.0	83.68.*	重庆市沙坪坝区
83.69.0	83.72.*	重庆市
83.73.0	83.75.*	重庆市北碚区
83.76.0	83.95.*	重庆市
83.96.0	83.96.*	重庆市巴南区
83.97.0	83.99.*	重庆市
83.100.0	83.112.*	重庆市巴南区
83.113.0	83.123.*	重庆市
83.124.0	83.124.*	重庆市巴南区
83.125.0	83.184.*	重庆市
83.185.0	83.186.*	重庆市江津区
83.187.0	83.199.*	重庆市
83.200.0	83.206.248	重庆市忠县
83.206.249	83.206.249	重庆市
83.206.250	83.207.*	重庆市忠县
83.208.0	83.215.*	重庆市
83.216.0	83.219.*	重庆市开县
83.220.0	83.242.*	重庆市
83.243.0	83.243.*	重庆市云阳县
83.244.0	84.8.138	重庆市
84.8.139	84.8.139	重庆市梁平县
84.8.140	84.9.*	重庆市
84.10.0	84.10.*	重庆市梁平县
84.11.0	84.13.*	重庆市渝北区
84.14.0	84.14.*	重庆市梁平县
84.15.0	84.15.*	重庆市渝北区
84.16.0	84.17.*	重庆市北碚区
84.18.0	84.19.*	重庆市渝北区
84.20.0	84.28.*	重庆市
84.29.0	84.29.*	重庆市北碚区
84.30.0	84.47.*	重庆市
84.48.0	84.49.*	重庆市涪陵区
84.50.0	84.52.*	重庆市
84.53.0	84.54.*	重庆市涪陵区
84.55.0	84.55.*	重庆市长寿区
84.56.0	84.56.*	重庆市涪陵区
84.57.0	84.78.*	重庆市
84.79.0	84.79.*	重庆市綦江县
84.80.0	84.89.*	重庆市
84.90.0	84.90.*	重庆市渝中区
84.91.0	84.120.*	重庆市
84.121.0	84.121.*	重庆市彭水县
84.122.0	84.122.*	重庆市
84.123.0	84.123.*	重庆市荣昌县
84.124.0	84.127.*	重庆市
84.128.0	84.132.*	重庆市合川区
84.133.0	84.133.*	重庆市长寿区
84.134.0	84.134.*	重庆市合川区
84.135.0	84.146.237	重庆市
84.146.238	84.146.238	重庆市渝北区
84.146.239	84.153.*	重庆市
84.154.0	84.155.*	重庆市江津区
84.156.0	84.156.*	重庆市綦江区
84.157.0	84.158.*	重庆市江津区
84.159.0	84.164.*	重庆市
84.165.0	84.165.*	重庆市綦江县
84.166.0	84.182.*	重庆市
84.183.0	84.183.*	重庆市渝中区
84.184.0	84.218.*	重庆市
84.219.0	84.219.*	重庆市万州区
84.220.0	84.223.*	重庆市开县
84.224.0	84.230.*	重庆市
84.231.0	84.231.*	重庆市忠县
84.232.0	84.233.*	重庆市
84.234.0	84.234.*	重庆市渝北区
84.235.0	85.35.*	重庆市
85.36.0	85.38.*	重庆市江北区
85.39.0	85.63.*	重庆市
85.64.0	85.64.*	重庆市巴南区
85.65.0	85.78.*	重庆市
85.79.0	85.99.*	重庆市南岸区
85.100.0	85.102.*	重庆市
85.103.0	85.104.*	重庆市南岸区
85.105.0	85.105.*	重庆市
85.106.0	85.106.*	重庆市北碚区
85.107.0	85.115.*	重庆市南岸区
85.116.0	85.117.*	重庆市北碚区
85.118.0	85.118.*	重庆市
85.119.0	85.119.*	重庆市九龙坡区
85.120.0	85.120.*	重庆市
85.121.0	85.121.*	重庆市南岸区
85.122.0	85.122.*	重庆市
85.123.0	85.123.*	重庆市南岸区
85.124.0	85.125.*	重庆市北碚区
85.126.0	85.126.*	重庆市
85.127.0	85.127.*	重庆市北碚区
85.128.0	85.128.*	重庆市渝中区
85.129.0	85.150.*	重庆市
85.151.0	85.151.*	重庆市九龙坡区
85.152.0	85.195.*	重庆市
85.196.0	85.196.*	重庆市沙坪坝区
85.197.0	85.220.*	重庆市
85.221.0	85.221.*	重庆市九龙坡区
85.222.0	85.228.*	重庆市
85.229.0	85.229.*	重庆市沙坪坝区
85.230.0	85.248.*	重庆市
85.249.0	85.249.*	重庆市沙坪坝区
85.250.0	86.27.*	重庆市
86.28.0	86.28.*	重庆市渝中区
86.29.0	86.80.*	重庆市
86.81.0	86.81.*	重庆市万洲区
86.82.0	86.86.*	重庆市
86.87.0	86.87.*	重庆市万州区
86.88.0	86.94.*	重庆市开县
86.95.0	86.182.*	重庆市
86.183.0	86.183.*	重庆市南岸区
86.184.0	87.29.*	重庆市
87.30.0	87.30.*	重庆市南平区
87.31.0	87.110.*	重庆市
87.111.0	87.111.*	重庆市永川区
87.112.0	87.124.*	重庆市
87.125.0	87.126.*	重庆市云阳县
87.127.0	87.*.*	重庆市
88.0.0	88.0.*	广东省广州市
88.1.0	88.3.*	广东省茂名市高州市
88.4.0	88.4.*	广东省东莞市
88.5.0	88.5.*	广东省茂名市高州市
88.6.0	88.8.*	广东省广州市
88.9.0	88.11.*	广东省茂名市高州市
88.12.0	88.12.*	广东省中山市
88.13.0	88.13.*	广东省茂名市高州市
88.14.0	88.14.*	广东省东莞市
88.15.0	88.127.*	广东省茂名市高州市
88.128.0	88.134.*	广东省广州市
88.135.0	88.135.*	广东省清远市
88.136.0	88.143.*	广东省广州市
88.144.0	88.162.*	广东省
88.163.0	88.163.*	广东省惠州市
88.164.0	88.*.*	广东省
89.0.0	89.79.*	广东省珠海市
89.80.0	89.95.*	珠海市
89.96.0	89.135.*	广东省河源市
89.136.0	89.151.*	广东省清远市
89.152.0	89.152.*	广东省梅州市
89.153.0	89.159.*	广东省茂名市高州市
89.160.0	89.197.*	广东省梅州市
89.198.0	89.*.*	广东省韶关市
90.0.0	90.7.*	广东省湛江市
90.8.0	90.10.*	广东省茂名市高州市
90.11.0	90.11.*	广东省湛江市
90.12.0	90.12.*	广东省珠海市
90.13.0	90.13.*	广东省广州市
90.14.0	90.59.127	广东省湛江市
90.59.128	90.59.*	广东省东莞市
90.60.0	90.79.*	广东省湛江市
90.80.0	90.89.1	广东省茂名市
90.89.2	90.89.2	广东省茂名市电白县
90.89.3	90.89.10	广东省茂名市
90.89.11	90.89.11	广东省茂名市电白县
90.89.12	90.89.17	广东省茂名市
90.89.18	90.89.18	广东省茂名市电白县
90.89.19	90.89.25	广东省茂名市
90.89.26	90.89.26	广东省茂名市电白县
90.89.27	90.89.33	广东省茂名市
90.89.34	90.89.34	广东省茂名市电白县
90.89.35	90.89.44	广东省茂名市
90.89.45	90.89.45	广东省茂名市电白县
90.89.46	90.89.57	广东省茂名市
90.89.58	90.89.60	广东省茂名市电白县
90.89.61	90.89.65	广东省茂名市
90.89.66	90.89.66	广东省茂名市电白县
90.89.67	90.89.70	广东省茂名市
90.89.71	90.89.71	广东省茂名市电白县
90.89.72	90.89.137	广东省茂名市
90.89.138	90.89.138	广东省茂名市高州市
90.89.139	90.89.161	广东省茂名市
90.89.162	90.89.162	广东省茂名市高州市
90.89.163	90.89.185	广东省茂名市
90.89.186	90.89.186	广东省茂名市高州市
90.89.187	90.94.17	广东省茂名市
90.94.18	90.94.18	广东省茂名市化州市
90.94.19	90.94.26	广东省茂名市
90.94.27	90.94.27	广东省茂名市化州市
90.94.28	90.94.35	广东省茂名市
90.94.36	90.94.36	广东省茂名市化州市
90.94.37	90.94.37	广东省茂名市
90.94.38	90.94.38	广东省茂名市化州市
90.94.39	90.94.41	广东省茂名市
90.94.42	90.94.42	广东省茂名市化州市
90.94.43	90.94.57	广东省茂名市
90.94.58	90.94.58	广东省茂名市化州市
90.94.59	90.94.115	广东省茂名市
90.94.116	90.94.118	广东省茂名市化州市
90.94.119	90.94.130	广东省茂名市
90.94.131	90.94.131	广东省茂名市化州市
90.94.132	90.95.1	广东省茂名市
90.95.2	90.95.3	广东省茂名市电白县
90.95.4	90.95.9	广东省茂名市
90.95.10	90.95.10	广东省茂名市电白县
90.95.11	90.95.25	广东省茂名市
90.95.26	90.95.30	广东省茂名市电白县
90.95.31	90.95.77	广东省茂名市
90.95.78	90.95.78	广东省茂名市电白县
90.95.79	90.95.115	广东省茂名市
90.95.116	90.95.116	广东省茂名市电白县
90.95.117	90.103.*	广东省茂名市
90.104.0	90.135.*	广东省阳江市
90.136.0	90.173.*	广东省云浮市
90.174.0	90.*.*	广东省肇庆市
91.0.0	91.95.*	广东省汕头市
91.96.0	91.143.*	广东省潮州市
91.144.0	91.206.*	广东省揭阳市
91.207.0	91.207.*	广东省茂名市高州市
91.208.0	91.216.*	广东省清远市
91.217.0	91.231.*	广东省茂名市高州市
91.232.0	91.232.*	广东省潮州市
91.233.0	91.233.*	广东省茂名市高州市
91.234.0	91.244.*	广东省潮州市
91.245.0	91.245.*	广东省东莞市
91.246.0	91.*.*	广东省潮州市
92.0.0	92.127.*	广东省江门市
92.128.0	92.*.*	广东省中山市
93.0.0	93.56.153	广东省惠州市
93.56.154	93.56.154	广东省惠州市惠东县
93.56.155	93.63.*	广东省惠州市
93.64.0	93.182.25	广东省东莞市
93.182.26	93.182.26	广东省东莞市虎门镇
93.182.27	94.31.*	广东省东莞市
94.32.0	94.127.*	广东省茂名市高州市
94.128.0	94.151.*	广东省深圳市
94.152.0	94.192.*	广东省茂名市高州市
94.193.0	94.204.*	广东省广州市
94.205.0	94.215.*	广东省茂名市高州市
94.216.0	94.231.*	广东省韶关市
94.232.0	94.239.*	广东省潮州市
94.240.0	94.248.*	广东省河源市
94.249.0	94.*.*	广东省茂名市高州市
95.0.0	95.15.*	广东省佛山市顺德区
95.16.0	95.16.*	广东省佛山市
95.17.0	95.17.*	广东省佛山市禅城区
95.18.0	95.25.*	广东省佛山市
95.26.0	95.27.*	广东省佛山市高明区
95.28.0	95.59.*	广东省佛山市
95.60.0	95.60.*	广东省佛山市南海区
95.61.0	95.61.72	广东省佛山市
95.61.73	95.61.73	广东省佛山市南海区
95.61.74	95.68.*	广东省佛山市
95.69.0	95.69.*	广东省佛山市南海区
95.70.0	95.77.*	广东省佛山市
95.78.0	95.78.*	广东省佛山市南海区
95.79.0	95.81.*	广东省佛山市
95.82.0	95.85.*	广东省佛山市顺德区
95.86.0	95.89.*	广东省佛山市
95.90.0	95.90.*	广东省佛山市顺德区
95.91.0	95.92.*	广东省佛山市
95.93.0	95.117.*	广东省佛山市禅城区
95.118.0	95.124.*	广东省佛山市
95.125.0	95.125.*	广东省佛山市禅城区
95.126.0	95.135.*	广东省佛山市
95.136.0	95.136.*	广东省佛山市南海区
95.137.0	95.151.*	广东省佛山市
95.152.0	95.153.*	广东省佛山市顺德区
95.154.0	95.159.*	广东省佛山市
95.160.0	95.161.*	广东省佛山市顺德区
95.162.0	95.162.*	广东省佛山市
95.163.0	95.163.*	广东省佛山市顺德区
95.164.0	95.178.*	广东省佛山市
95.179.0	95.183.*	广东省佛山市南海区
95.184.0	95.186.*	广东省佛山市
95.187.0	95.187.*	广东省佛山市南海区
95.188.0	95.189.9	广东省佛山市
95.189.10	95.189.10	广东省佛山市南海区
95.189.11	95.189.41	广东省佛山市
95.189.42	95.189.42	广东省佛山市南海区
95.189.43	95.189.49	广东省佛山市
95.189.50	95.189.50	广东省佛山市南海区
95.189.51	95.189.81	广东省佛山市
95.189.82	95.189.82	广东省佛山市南海区
95.189.83	95.189.97	广东省佛山市
95.189.98	95.189.98	广东省佛山市南海区
95.189.99	95.189.113	广东省佛山市
95.189.114	95.189.114	广东省佛山市南海区
95.189.115	95.189.*	广东省佛山市
95.190.0	95.190.65	广东省佛山市南海区
95.190.66	95.190.66	广东省佛山市
95.190.67	95.190.*	广东省佛山市南海区
95.191.0	95.194.*	广东省佛山市
95.195.0	95.195.*	广东省佛山市顺德区
95.196.0	95.199.*	广东省佛山市禅城区
95.200.0	95.217.*	广东省佛山市顺德区
95.218.0	95.223.*	广东省佛山市
95.224.0	95.226.*	广东省佛山市顺德区
95.227.0	95.230.*	广东省佛山市
95.231.0	95.231.*	广东省佛山市顺德区
95.232.0	95.240.*	广东省佛山市
95.241.0	95.241.*	广东省佛山市禅城区
95.242.0	95.250.*	广东省佛山市
95.251.0	95.251.*	广东省佛山市禅城区
95.252.0	95.*.*	广东省佛山市
96.0.0	96.35.*	北京市
96.36.0	96.36.*	北京市朝阳区
96.37.0	98.130.*	北京市
98.131.0	98.131.*	上海市杨浦区
98.132.0	98.140.*	北京市
98.141.0	98.170.*	上海市
98.171.0	98.182.*	北京市
98.183.0	98.191.*	上海市
98.192.0	98.*.*	北京市
99.0.0	99.*.*	印度
100.0.0	103.*.*	日本
104.0.0	104.*.*	浙江省台州市
105.0.0	105.*.*	浙江省
106.0.0	106.104.*	浙江省衢州市
106.105.0	106.121.*	浙江省衢州市江山市
106.122.0	106.*.*	浙江省衢州市
107.0.0	107.*.*	浙江省绍兴市
108.0.0	111.*.*	浙江省温州市
112.0.0	113.*.*	浙江省金华市
114.0.0	116.165.*	浙江省宁波市
116.166.0	116.166.*	安徽省铜陵市
116.167.0	116.167.*	浙江省宁波市
116.168.0	116.171.*	福建省
116.172.0	117.*.*	浙江省宁波市
118.0.0	118.97.*	浙江省杭州市
118.98.0	118.108.*	浙江省宁波市
118.109.0	118.177.*	浙江省杭州市
118.178.0	118.180.*	浙江省宁波市
118.181.0	118.189.*	浙江省杭州市
118.190.0	118.190.*	浙江省台州市
118.191.0	122.*.*	浙江省杭州市
123.0.0	124.*.*	浙江省嘉兴市
125.0.0	125.*.*	浙江省湖州市
126.0.0	127.84.208	浙江省台州市
127.84.209	127.84.209	浙江省台州市温岭市
127.84.210	127.99.150	浙江省台州市
127.99.151	127.99.151	浙江省台州市温岭市
127.99.152	127.*.*	浙江省台州市
128.0.0	159.*.*	韩国
160.0.0	165.*.*	印度尼西亚
166.0.0	168.*.*	澳大利亚
169.0.0	169.*.*	广东省
170.0.0	170.*.*	日本
171.0.0	171.32.*	广东省广州市
171.33.0	171.33.*	广东省广州市天河区
171.34.0	171.63.*	广东省广州市
171.64.0	171.95.*	广东省珠海市
171.96.0	171.111.*	广东省韶关市
171.112.0	171.128.*	广东省广州市
171.129.0	171.130.*	广东省东莞市
171.131.0	171.133.*	广东省广州市
171.134.0	171.136.*	广东省江门市
171.137.0	171.139.*	广东省珠海市
171.140.0	171.143.*	广东省广州市
171.144.0	171.159.*	广东省惠州市
171.160.0	171.162.*	广东省阳江市
171.163.0	171.163.*	广东省广州市
171.164.0	171.172.*	广东省阳江市
171.173.0	171.173.*	广东省湛江市
171.174.0	171.175.*	广东省深圳市
171.176.0	171.182.*	广东省佛山市
171.183.0	171.183.*	广东省深圳市
171.184.0	171.191.*	广东省惠州市
171.192.0	171.195.*	广东省清远市
171.196.0	171.241.*	广东省广州市
171.242.0	171.242.*	广东省湛江市
171.243.0	171.*.*	广东省广州市
172.0.0	175.*.*	日本
176.0.0	191.*.*	韩国
192.0.0	207.*.*	日本
208.0.0	208.3.162	北京市
208.3.163	208.3.163	北京市海淀区
208.3.164	208.63.*	北京市
208.64.0	208.127.*	韩国
208.128.0	208.191.*	印度尼西亚
208.192.0	209.63.*	韩国
209.64.0	209.127.*	巴基斯坦
209.128.0	209.191.*	澳大利亚
209.192.0	209.*.*	亚太地区
210.0.0	210.*.*	浙江省杭州市
211.0.0	211.225.*	黑龙江省哈尔滨市
211.226.0	211.*.*	黑龙江省
212.0.0	212.127.*	菲律宾
212.128.0	212.*.*	越南
213.0.0	213.3.*	福建省福州市
213.4.0	213.4.*	福建省漳州市
213.5.0	213.16.*	福建省福州市
213.17.0	213.17.*	福建省龙岩市
213.18.0	213.18.*	福建省福州市
213.19.0	213.21.*	福建省龙岩市
213.22.0	213.23.*	福建省福州市
213.24.0	213.29.*	福建省龙岩市
213.30.0	213.31.*	福建省宁德市
213.32.0	213.47.*	福建省福州市
213.48.0	213.51.*	福建省莆田市
213.52.0	213.52.*	福建省厦门市
213.53.0	213.55.*	福建省莆田市
213.56.0	213.59.*	福建省漳州市
213.60.0	213.78.*	福建省南平市
213.79.0	213.82.*	福建省龙岩市
213.83.0	213.83.*	福建省南平市
213.84.0	213.85.*	福建省龙岩市
213.86.0	213.87.*	福建省厦门市
213.88.0	213.88.*	重庆市
213.89.0	213.89.*	重庆市江北区
213.90.0	213.95.*	重庆市
213.96.0	213.96.*	重庆市武隆县
213.97.0	213.97.*	重庆市江北区
213.98.0	213.98.*	重庆市涪陵区
213.99.0	213.99.*	重庆市
213.100.0	213.100.*	重庆市长寿区
213.101.0	213.101.*	重庆市
213.102.0	213.103.*	云南省昆明市
213.104.0	213.111.*	云南省
213.112.0	213.127.*	新疆乌鲁木齐市
213.128.0	213.159.*	印度尼西亚
213.160.0	213.191.*	澳大利亚
213.192.0	213.223.*	阿富汗
213.224.0	213.*.*	泰国
214.0.0	214.63.*	越南
214.64.0	214.71.*	澳大利亚
214.72.0	214.79.*	APNIC
214.80.0	214.87.*	澳大利亚
214.88.0	214.95.*	亚太地区
214.96.0	214.127.*	四川省成都市
214.128.0	214.159.*	日本
214.160.0	214.191.*	斯里兰卡
214.192.0	214.*.*	香港
215.0.0	215.63.*	上海市
215.64.0	215.127.*	日本
215.128.0	215.*.*	香港
216.0.0	216.23.*	广东省广州市
216.24.0	216.25.*	广东省广州市开发区
216.26.0	216.27.*	广东省广州市
216.28.0	216.31.*	广东省广州市开发区
216.32.0	216.39.*	广东省广州市
216.40.0	216.40.*	广东省广州市天河区
216.41.0	216.43.*	广东省广州市开发区
216.44.0	216.47.*	广东省广州市增城市
216.48.0	216.49.*	广东省汕尾市
216.50.0	216.51.*	广东省广州市白云区
216.52.0	216.53.*	广东省广州市
216.54.0	216.55.*	广东省广州市开发区
216.56.0	216.57.*	广东省广州市
216.58.0	216.60.*	广东省广州市天河区
216.61.0	216.61.*	广东省佛山市
216.62.0	216.63.*	广东省广州市萝岗区
216.64.0	216.95.*	广东省广州市
216.96.0	216.97.*	广东省广州市萝岗区
216.98.0	216.99.*	广东省广州市增城市
216.100.0	216.103.*	广东省广州市
216.104.0	216.104.*	广东省清远市
216.105.0	216.107.*	广东省广州市
216.108.0	216.111.*	广东省广州市天河区
216.112.0	216.127.*	广东省广州市
216.128.0	216.131.*	广东省广州市花都区
216.132.0	216.134.*	广东省广州市天河区
216.135.0	216.135.*	广东省广州市白云区
216.136.0	216.159.*	广东省广州市
216.160.0	216.160.*	广东省广州市天河区
216.161.0	216.161.*	广东省广州市增城市
216.162.0	216.165.*	广东省广州市萝岗区
216.166.0	216.180.*	广东省广州市
216.181.0	216.181.*	广东省广州市天河区
