
0.0.0	0.7.*	澳大利亚
35.254.0	35.*.*	广东省深圳市
36.0.0	36.0.*	广东省东莞市
36.1.0	36.19.*	广东省深圳市
36.20.0	36.23.*	河北省保定市
36.24.0	36.27.*	广东省广州市
36.28.0	36.39.*	河北省保定市
36.40.0	36.40.*	云南省昆明市
36.41.0	36.41.*	云南省德宏州
36.42.0	36.55.*	河北省
36.56.0	36.63.*	河北省邢台市
36.64.0	36.79.*	云南省
36.80.0	36.80.*	福建省
36.81.0	36.112.*	云南省
36.113.0	36.127.*	江西省
36.128.0	36.136.*	云南省
36.137.0	36.175.*	福建省
36.176.0	36.176.*	安徽省
36.177.0	36.187.*	福建省厦门市
36.188.0	36.190.*	贵州省
36.191.0	36.193.*	广东省深圳市
36.194.0	36.194.*	广东省
36.195.0	36.217.*	广东省深圳市
36.218.0	36.218.*	广东省梅州市
36.219.0	36.223.*	广东省深圳市
36.224.0	36.224.*	广东省普宁市
36.225.0	36.240.*	广东省深圳市
36.241.0	36.247.*	广东省湛江市
36.248.0	37.63.*	广东省深圳市
37.64.0	37.116.*	中国
37.117.0	37.117.*	广东省深圳市
37.118.0	37.125.*	中国
37.126.0	37.126.*	广东省广州市
37.127.0	39.*.*	中国
40.0.0	40.1.*	广东省佛山市
40.2.0	40.20.*	广东省
40.21.0	40.21.*	河北省秦皇岛市
40.22.0	40.22.*	河北省
40.23.0	40.23.*	河北省保定市
40.24.0	40.31.*	河北省廊坊市
40.32.0	40.32.*	河北省保定市
40.33.0	40.63.*	辽宁省鞍山市
40.64.0	40.68.*	河北省邯郸市
40.69.0	40.70.*	河北省衡水市
40.71.0	40.71.*	河北省邯郸市
40.72.0	40.72.*	河北省
40.73.0	40.74.*	河北省保定市
40.75.0	40.75.*	河北省衡水市
40.76.0	40.76.*	河北省保定市
40.77.0	40.77.*	河北省
40.78.0	40.127.*	河北省衡水市
40.128.0	40.160.*	河北省石家庄市
40.161.0	40.191.*	中国
40.192.0	40.200.*	辽宁省鞍山市
40.201.0	40.201.*	湖北省鄂州市
40.202.0	40.207.*	辽宁省鞍山市
40.208.0	40.215.*	河北省廊坊市
40.216.0	40.219.*	浙江省杭州市
40.220.0	40.220.*	浙江省嘉兴市
40.221.0	40.223.*	中国
40.224.0	40.225.*	湖北省
40.226.0	40.239.*	辽宁省鞍山市
40.240.0	40.240.*	福建省福州市
40.241.0	40.241.*	福建省厦门市
40.242.0	40.246.*	福建省福州市
40.247.0	40.247.*	福建省三明市
40.248.0	41.3.*	福建省福州市
41.4.0	41.4.*	福建省泉州市
41.5.0	41.8.*	福建省福州市
41.9.0	41.10.*	福建省泉州市
41.11.0	41.14.*	福建省福州市
41.15.0	41.22.*	福建省泉州市
41.23.0	41.23.*	福建省莆田市
41.24.0	41.38.*	福建省泉州市
41.39.0	41.57.*	福建省福州市
41.58.0	41.70.*	福建省漳州市
41.71.0	41.95.*	福建省福州市
41.96.0	41.105.*	福建省漳州市
41.106.0	41.106.*	福建省泉州市
41.107.0	41.107.*	福建省莆田市
41.108.0	41.109.*	福建省福州市
41.110.0	41.110.*	福建省莆田市
41.111.0	41.116.*	福建省泉州市
41.117.0	41.121.*	福建省福州市
41.122.0	41.122.*	福建省厦门市
41.123.0	41.125.*	福建省福州市
41.126.0	41.127.*	福建省三明市
41.128.0	41.128.*	浙江省杭州市
41.129.0	41.129.*	浙江省嘉兴市
41.130.0	41.142.*	浙江省宁波市
41.143.0	41.159.*	浙江省
41.160.0	41.175.*	浙江省台州市
41.176.0	41.179.*	浙江省
41.180.0	41.180.*	浙江省杭州市
41.181.0	41.181.*	浙江省湖州市
41.182.0	41.184.*	浙江省
41.185.0	41.189.*	浙江省温州市
41.190.0	41.191.*	浙江省
41.192.0	41.213.*	浙江省嘉兴市
41.214.0	41.223.*	浙江省湖州市
41.224.0	41.224.*	江苏省镇江市
41.225.0	41.229.*	福建省福州市
41.230.0	41.231.*	江苏省镇江市
41.232.0	41.232.*	河南省周口市
41.233.0	41.235.*	江苏省镇江市
41.236.0	41.236.*	湖北省荆州市
41.237.0	41.237.*	湖北省宜昌市
41.238.0	41.238.*	湖北省荆门市
41.239.0	41.239.*	江苏省镇江市
41.240.0	41.240.*	湖北省孝感市
41.241.0	41.243.*	福建省福州市
41.244.0	41.244.*	湖北省仙桃市
41.245.0	41.245.*	湖北省荆门市
41.246.0	41.247.*	福建省福州市
41.248.0	41.*.*	福建省漳州市
42.0.0	42.52.211	河北省石家庄市
42.52.212	42.52.212	河北省承德市
42.52.213	42.54.*	河北省石家庄市
42.55.0	42.55.*	河北省邢台市
42.56.0	42.63.*	河北省石家庄市
42.64.0	42.64.*	河北省衡水市
42.65.0	42.127.*	河北省保定市
42.128.0	42.191.*	河北省唐山市
42.192.0	42.225.*	河北省邯郸市
42.226.0	42.*.*	河北省
43.0.0	43.7.*	河北省衡水市
43.8.0	43.8.*	河北省石家庄市
43.9.0	43.15.*	河北省衡水市
43.16.0	43.16.*	河北省承德市
43.17.0	43.17.*	河北省石家庄市
43.18.0	43.21.*	河北省承德市
43.22.0	43.22.*	河北省邯郸市
43.23.0	43.23.*	河北省承德市
43.24.0	43.31.*	河北省
43.32.0	43.45.*	河北省邢台市
43.46.0	43.46.*	河北省保定市
43.47.0	43.59.*	河北省邢台市
43.60.0	43.63.*	河北省
43.64.0	43.94.*	河北省秦皇岛市
43.95.0	43.95.*	河北省
43.96.0	43.118.*	河北省廊坊市
43.119.0	43.122.*	河北省
43.123.0	43.128.*	河北省邢台市
43.129.0	43.131.*	河北省张家口市
43.132.0	43.135.*	河北省
43.136.0	43.143.*	河北省唐山市
43.144.0	43.151.*	河北省承德市
43.152.0	43.159.*	河北省
43.160.0	43.175.*	河北省沧州市
43.176.0	43.176.*	河北省衡水市
43.177.0	43.191.*	河北省
43.192.0	43.205.*	河北省秦皇岛市
43.206.0	43.207.*	河北省保定市
43.208.0	43.215.*	河北省
43.216.0	43.216.*	河北省廊坊市
43.217.0	43.225.*	河北省
43.226.0	43.226.*	河北省唐山市
43.227.0	43.231.*	河北省
43.232.0	43.235.*	河北省石家庄市
43.236.0	43.236.*	河北省保定市
43.237.0	43.*.*	河北省
44.0.0	45.*.*	澳大利亚
46.0.0	46.31.*	浙江省嘉兴市
46.32.0	46.63.*	浙江省温州市
46.64.0	46.74.*	新疆乌鲁木齐市
46.75.0	46.75.*	新疆喀什地区
46.76.0	46.81.*	新疆乌鲁木齐市
46.82.0	46.82.*	新疆喀什地区
46.83.0	46.95.*	新疆乌鲁木齐市
46.96.0	46.99.*	新疆喀什市
46.100.0	46.126.*	新疆乌鲁木齐市
46.127.0	46.127.*	陕西省
46.128.0	46.128.*	湖南省
46.129.0	46.142.*	浙江省
46.143.0	46.191.*	湖南省
46.192.0	46.193.*	浙江省
46.194.0	46.194.*	湖南省
46.195.0	46.231.*	浙江省
46.232.0	46.239.*	福建省
46.240.0	46.250.*	安徽省
46.251.0	46.*.*	中国
47.0.0	47.*.*	北京市
48.0.0	48.15.*	四川省泸州市
48.16.0	48.16.*	四川省成都市
48.17.0	48.17.*	四川省绵阳市
48.18.0	48.18.*	四川省成都市
48.19.0	48.19.*	四川省达州市
48.20.0	48.30.*	四川省成都市
48.31.0	48.31.*	四川省内江市
48.32.0	48.35.*	四川省成都市
48.36.0	48.36.*	四川省南充市
48.37.0	48.37.*	四川省乐山市
48.38.0	48.38.*	四川省广安市
48.39.0	48.39.*	四川省成都市
48.40.0	48.63.*	四川省泸州市
48.64.0	48.87.*	四川省凉山州
48.88.0	48.91.*	四川省成都市
48.92.0	48.92.*	四川省雅安市
48.93.0	48.93.*	四川省成都市
48.94.0	48.94.*	四川省阿坝州
48.95.0	48.112.*	四川省成都市
48.113.0	48.113.*	四川省宜宾市
48.114.0	48.114.*	四川省成都市
48.115.0	48.115.*	四川省眉山市
48.116.0	48.119.*	中国
48.120.0	48.127.*	四川省甘孜州
48.128.0	48.143.*	四川省成都市
48.144.0	48.147.*	四川省德阳市
48.148.0	48.151.*	中国
48.152.0	48.*.*	四川省成都市
49.0.0	49.5.*	重庆市
49.6.0	49.7.*	中国
49.8.0	49.11.*	重庆市
49.12.0	49.63.*	中国
49.64.0	49.127.*	四川省成都市
49.128.0	49.143.*	云南省普洱市
49.144.0	49.151.*	云南省昆明市
49.152.0	49.159.*	中国
49.160.0	49.191.*	云南省昆明市
49.192.0	49.192.*	贵州省兴义市
49.193.0	49.193.*	贵州省贵阳市
49.194.0	49.194.*	贵州省六盘水市
49.195.0	49.196.*	贵州省贵阳市
49.197.0	49.199.*	中国
49.200.0	49.207.*	贵州省贵阳市
49.208.0	49.*.*	中国
50.0.0	50.7.*	印度
50.8.0	50.15.*	亚太地区
50.16.0	50.31.*	韩国
50.32.0	50.39.*	印度尼西亚
50.40.0	50.63.*	日本
50.64.0	50.127.*	韩国
50.128.0	50.143.*	印度尼西亚
50.144.0	50.151.*	台湾省
50.152.0	50.167.*	日本
50.168.0	50.175.*	亚太地区
50.176.0	50.191.*	台湾省
50.192.0	50.223.*	澳大利亚
50.224.0	50.*.*	韩国
51.0.0	51.0.*	广东省肇庆市
51.1.0	51.1.*	广东省珠海市
51.2.0	51.2.*	广东省佛山市
51.3.0	51.3.*	广东省珠海市
51.4.0	51.4.*	广东省梅州市
51.5.0	51.7.*	广东省珠海市
51.8.0	51.15.*	广东省惠州市
51.16.0	51.19.*	广东省广州市
51.20.0	51.22.*	广东省江门市
51.23.0	51.23.*	广东省佛山市
51.24.0	51.26.*	广东省云浮市
51.27.0	51.30.*	广东省广州市
51.31.0	51.31.*	广东省云浮市
51.32.0	51.32.*	广东省肇庆市
51.33.0	51.39.*	广东省湛江市
51.40.0	51.45.*	广东省梅州市
51.46.0	51.46.*	广东省深圳市
51.47.0	51.47.*	广东省梅州市
51.48.0	51.51.*	广东省珠海市
51.52.0	51.55.*	广东省潮州市
51.56.0	51.59.*	广东省梅州市
51.60.0	51.63.*	广东省清远市
51.64.0	51.79.*	广东省肇庆市
51.80.0	51.83.*	广东省东莞市
51.84.0	51.85.*	广东省汕头市
51.86.0	51.87.*	广东省东莞市
51.88.0	51.94.*	广东省广州市
51.95.0	51.95.*	广东省东莞市
51.96.0	51.97.*	广东省汕头市
51.98.0	51.103.*	广东省梅州市
51.104.0	51.104.*	广东省揭阳市
51.105.0	51.115.*	广东省梅州市
51.116.0	51.123.*	广东省清远市
51.124.0	51.125.*	广东省
51.126.0	51.127.*	北京市
51.128.0	51.143.*	云南省曲靖市
51.144.0	51.147.*	宁夏
51.148.0	51.149.*	宁夏中卫市
51.150.0	51.151.*	江西省景德镇市
51.152.0	51.154.*	云南省昆明市
51.155.0	51.156.*	江西省景德镇市
51.157.0	51.157.*	江西省赣州市
51.158.0	51.158.*	宁夏石嘴山市
51.159.0	51.163.*	北京市
51.164.0	51.167.*	云南省昭通市
51.168.0	51.174.*	云南省
51.175.0	51.175.*	云南省昆明市
51.176.0	51.183.*	云南省
51.184.0	51.188.*	云南省楚雄州
51.189.0	51.191.*	云南省昭通市
51.192.0	51.192.*	云南省昆明市
51.193.0	51.195.*	北京市
51.196.0	51.199.*	湖南省
51.200.0	51.202.*	湖南省株洲市
51.203.0	51.203.*	湖南省吉首市
51.204.0	51.204.*	湖南省湘潭市
51.205.0	51.223.*	湖南省株洲市
51.224.0	51.236.*	湖南省长沙市
51.237.0	51.237.*	湖南省益阳市
51.238.0	51.238.*	湖南省长沙市
51.239.0	51.*.*	湖南省益阳市
52.0.0	52.143.*	印度尼西亚
52.144.0	52.159.*	巴基斯坦
52.160.0	52.191.*	北京市
52.192.0	52.199.*	澳大利亚
52.200.0	52.207.*	新加坡
52.208.0	52.223.*	北京市
52.224.0	52.*.*	浙江省杭州市
53.0.0	53.*.*	韩国
54.0.0	54.127.*	菲律宾
54.128.0	54.159.*	澳大利亚
54.160.0	54.167.*	菲律宾
54.168.0	54.175.*	香港
54.176.0	54.191.*	新西兰
54.192.0	54.*.*	韩国
55.0.0	55.7.*	浙江省宁波市
55.8.0	55.8.*	上海市普陀区
55.9.0	55.9.*	上海市宝山区
55.10.0	55.10.*	上海市
55.11.0	55.11.*	江西省南昌市
55.12.0	55.23.*	江西省
55.24.0	55.24.*	江西省抚州市
55.25.0	55.30.*	江西省
55.31.0	55.31.*	江西省鹰潭市
55.32.0	55.42.*	上海市
55.43.0	55.43.*	上海市闵行区
55.44.0	55.50.*	上海市
55.51.0	55.51.*	江苏省扬州市
55.52.0	55.55.*	广东省惠州市
55.56.0	55.63.*	江苏省扬州市
55.64.0	55.191.*	韩国
55.192.0	55.*.*	关岛
56.0.0	56.31.*	内蒙古呼和浩特市
56.32.0	56.63.*	内蒙古包头市
56.64.0	56.79.*	内蒙古呼伦贝尔市
56.80.0	56.95.*	内蒙古乌海市
56.96.0	56.127.*	内蒙古赤峰市
56.128.0	56.143.*	内蒙古鄂尔多斯市
56.144.0	56.160.*	内蒙古巴彦淖尔市
56.161.0	56.163.*	内蒙古乌兰察布市
56.164.0	56.168.*	内蒙古巴彦淖尔市
56.169.0	56.169.*	内蒙古乌兰察布市
56.170.0	56.175.*	内蒙古巴彦淖尔市
56.176.0	56.191.*	内蒙古通辽市
56.192.0	56.199.*	内蒙古阿拉善盟
56.200.0	56.200.*	内蒙古乌兰浩特市
56.201.0	56.213.*	内蒙古兴安盟
56.214.0	56.214.*	内蒙古锡林郭勒盟
56.215.0	56.215.*	内蒙古兴安盟
56.216.0	56.223.*	内蒙古赤峰市
56.224.0	56.233.*	内蒙古呼伦贝尔市
56.234.0	56.234.*	内蒙古扎兰屯市
56.235.0	56.*.*	内蒙古呼伦贝尔市
57.0.0	57.4.*	内蒙古
57.5.0	57.5.*	内蒙古呼和浩特市
57.6.0	57.31.*	内蒙古
57.32.0	57.63.*	内蒙古包头市
57.64.0	57.168.*	内蒙古赤峰市
57.169.0	57.169.*	内蒙古乌兰察布市
57.170.0	57.*.*	内蒙古赤峰市
58.0.0	58.72.*	海南省
58.73.0	58.75.*	海南省三亚市
58.76.0	58.76.*	海南省海口市
58.77.0	58.81.*	海南省
58.82.0	58.84.*	海南省海口市
58.85.0	58.127.*	海南省
58.128.0	58.135.*	日本
58.136.0	58.143.*	亚太地区
58.144.0	58.159.*	北京市
58.160.0	58.167.*	亚太地区
58.168.0	58.175.*	印度
58.176.0	58.183.*	日本
58.184.0	58.191.*	印度尼西亚
58.192.0	58.*.*	菲律宾
59.0.0	59.123.*	中国
59.124.0	59.124.*	陕西省咸阳市
59.125.0	59.*.*	中国
60.0.0	60.228.*	湖北省
60.229.0	60.229.*	湖北省武汉市
60.230.0	60.*.*	湖北省
61.0.0	61.127.*	湖北省咸宁市
61.128.0	61.*.*	湖北省荆门市
62.0.0	62.127.*	湖北省十堰市
62.128.0	62.*.*	湖北省黄冈市
63.0.0	63.127.*	湖北省宜昌市
63.128.0	63.*.*	湖北省襄樊市
64.0.0	67.*.*	韩国
68.0.0	68.0.*	安徽省
68.1.0	68.1.*	四川省成都市
68.2.0	68.2.163	重庆市
68.2.164	68.2.164	重庆市荣昌县
68.2.165	68.3.*	重庆市
68.4.0	68.12.*	四川省成都市
68.13.0	68.14.*	重庆市
68.15.0	68.73.170	四川省成都市
68.73.171	68.73.171	四川省资阳市
68.73.172	68.74.*	四川省成都市
68.75.0	68.76.*	四川省泸州市
68.77.0	68.77.*	四川省自贡市
68.78.0	68.80.*	四川省成都市
68.81.0	68.81.*	四川省自贡市
68.82.0	68.83.*	四川省成都市
68.84.0	68.87.*	四川省宜宾市
68.88.0	68.93.*	四川省遂宁市
68.94.0	68.94.*	四川省雅安市
68.95.0	68.95.*	四川省泸州市
68.96.0	68.100.*	四川省绵阳市
68.101.0	68.101.*	四川省巴中市
68.102.0	68.103.*	四川省南充市
68.104.0	68.105.*	四川省德阳市
68.106.0	68.107.*	四川省遂宁市
68.108.0	68.109.*	四川省达州市
68.110.0	68.110.*	四川省广安市
68.111.0	68.112.*	四川省内江市
68.113.0	68.113.*	四川省泸州市
68.114.0	68.114.*	四川省攀枝花市
68.115.0	68.115.*	四川省凉山州
68.116.0	68.117.*	四川省自贡市
68.118.0	68.124.*	四川省宜宾市
68.125.0	68.125.*	四川省成都市
68.126.0	68.127.*	四川省宜宾市
68.128.0	68.131.*	江西省新余市
68.132.0	68.135.*	江西省九江市
68.136.0	68.139.*	江西省上饶市
68.140.0	68.141.*	江西省抚州市
68.142.0	68.145.*	江西省宜春市
68.146.0	68.147.*	江西省萍乡市
68.148.0	68.151.*	江西省吉安市
68.152.0	68.155.*	江西省赣州市
68.156.0	68.157.*	江西省景德镇市
68.158.0	68.158.*	江西省
68.159.0	68.159.*	江西省萍乡市
68.160.0	68.163.*	江西省鹰潭市
68.164.0	68.167.*	江西省
68.168.0	68.175.*	江西省上饶市
68.176.0	68.179.*	江西省宜春市
68.180.0	68.183.*	江西省赣州市
68.184.0	68.187.*	江西省萍乡市
68.188.0	68.190.*	江西省景德镇市
68.191.0	68.191.*	江西省赣州市
68.192.0	68.239.*	江西省南昌市
68.240.0	68.240.*	江西省吉安市
68.241.0	68.243.*	江西省南昌市
68.244.0	68.*.*	江西省赣州市
69.0.0	69.63.*	吉林省长春市
69.64.0	69.95.*	吉林省吉林市
69.96.0	69.96.*	吉林省延边州
69.97.0	69.97.*	吉林省长春市
69.98.0	69.101.*	吉林省延边州
69.102.0	69.115.*	吉林省长春市
69.116.0	69.117.*	吉林省延边州
69.118.0	69.118.*	吉林省敦化市
69.119.0	69.119.*	吉林省长春市
69.120.0	69.125.*	吉林省延边州
69.126.0	69.134.*	吉林省长春市
69.135.0	69.135.*	吉林省四平市
69.136.0	69.158.*	吉林省长春市
69.159.0	69.159.*	吉林省四平市
69.160.0	69.169.*	吉林省通化市
69.170.0	69.175.*	吉林省吉林市
69.176.0	69.179.*	吉林省通化市
69.180.0	69.180.*	吉林省九台市
69.181.0	69.191.*	吉林省通化市
69.192.0	69.204.*	吉林省白城市
69.205.0	69.206.*	吉林省长春市
69.207.0	69.207.*	吉林省白城市
69.208.0	69.223.*	吉林省松原市
69.224.0	69.239.*	吉林省白山市
69.240.0	69.242.*	吉林省
69.243.0	69.243.*	吉林省辽源市
69.244.0	69.251.*	吉林省
69.252.0	69.252.*	吉林省四平市
69.253.0	69.253.*	吉林省
69.254.0	69.254.*	吉林省辽源市
69.*.0	69.*.*	吉林省
70.0.0	70.3.*	吉林省长春市
70.4.0	70.19.*	吉林省吉林市
70.20.0	70.20.*	吉林省通化市
70.21.0	70.40.*	吉林省吉林市
70.41.0	70.42.*	吉林省白山市
70.43.0	70.47.*	吉林省
70.48.0	70.63.*	吉林省长春市
70.64.0	70.64.*	中国
70.65.0	70.71.*	北京市
70.72.0	70.79.*	辽宁省大连市
70.80.0	70.80.*	中国
70.81.0	70.81.16	北京市
70.81.17	70.87.*	中国
70.88.0	70.127.*	河北省唐山市
70.128.0	70.159.*	辽宁省锦州市
70.160.0	70.160.*	辽宁省铁岭市
70.161.0	70.163.*	辽宁省锦州市
70.164.0	70.164.*	辽宁省铁岭市
70.165.0	70.168.*	辽宁省锦州市
70.169.0	70.169.*	辽宁省铁岭市
70.170.0	70.188.*	辽宁省锦州市
70.189.0	70.189.*	辽宁省铁岭市
70.190.0	70.191.*	辽宁省锦州市
70.192.0	70.247.*	辽宁省营口市
70.248.0	70.*.*	辽宁省铁岭市
71.0.0	71.8.*	湖南省长沙市
71.9.0	71.9.*	福建省泉州市
71.10.0	71.19.*	湖南省长沙市
71.20.0	71.20.*	福建省福州市
71.21.0	71.60.*	湖南省长沙市
71.61.0	71.71.*	福建省福州市
71.72.0	71.75.*	福建省三明市
71.76.0	71.81.*	福建省福州市
71.82.0	71.86.*	福建省龙岩市
71.87.0	71.87.*	福建省福州市
71.88.0	71.95.*	福建省漳州市
71.96.0	71.103.*	福建省福州市
71.104.0	71.111.*	福建省南平市
71.112.0	71.116.*	福建省福州市
71.117.0	71.127.*	福建省厦门市
71.128.0	71.*.*	中国
72.0.0	74.*.*	新西兰
75.0.0	75.97.*	湖南省
75.98.0	75.98.*	湖南省长沙市
75.99.0	75.*.*	湖南省
76.0.0	76.55.*	上海市
76.56.0	76.63.*	上海市黄浦区
76.64.0	76.65.*	上海市崇明县
76.66.0	76.66.*	上海市普陀区
76.67.0	76.71.*	上海市崇明县
76.72.0	76.79.*	上海市长宁区
76.80.0	76.95.*	上海市普陀区
76.96.0	76.137.*	上海市
76.138.0	76.143.*	上海市黄浦区
76.144.0	76.197.*	上海市
76.198.0	76.199.*	上海市卢湾区
76.200.0	77.138.*	上海市
77.139.0	77.139.*	上海市浦东新区
77.140.0	77.218.*	上海市
77.219.0	77.219.*	上海市闸北区
77.220.0	77.223.*	上海市
77.224.0	77.224.*	上海市闸北区
77.225.0	77.229.*	上海市虹口区
77.230.0	77.230.*	上海市闸北区
77.231.0	77.231.*	上海市虹口区
77.232.0	77.233.*	上海市南汇区
77.234.0	77.234.*	上海市卢湾区
77.235.0	77.239.*	上海市南汇区
77.240.0	77.247.*	上海市杨浦区
77.248.0	77.248.*	上海市卢湾区
77.249.0	77.250.*	上海市闸北区
77.251.0	77.251.*	上海市卢湾区
77.252.0	77.*.*	上海市闸北区
78.0.0	78.*.*	韩国
79.0.0	79.127.*	澳大利亚
79.128.0	79.191.*	北京市
79.192.0	79.247.*	新西兰
79.248.0	79.*.*	亚太地区
80.0.0	87.*.*	日本
88.0.0	88.*.*	韩国
89.0.0	89.150.*	中国
89.151.0	89.151.*	重庆市
89.152.0	89.*.*	中国
90.0.0	91.*.*	澳大利亚
92.0.0	95.*.*	日本
96.0.0	97.*.*	菲律宾
98.0.0	98.*.*	新西兰
99.0.0	99.*.*	欧洲
100.0.0	100.7.*	印度尼西亚
100.8.0	100.15.*	日本
100.16.0	100.31.*	印度尼西亚
100.32.0	100.47.*	新加坡
100.48.0	100.55.*	阿富汗
100.56.0	100.63.*	亚太地区
100.64.0	100.127.*	韩国
100.128.0	100.139.*	山西省太原市
100.140.0	100.143.*	山西省晋中市
100.144.0	100.144.*	山西省太原市
100.145.0	100.145.*	山西省运城市
100.146.0	100.149.*	山西省太原市
100.150.0	100.159.*	山西省
100.160.0	100.160.*	甘肃省白银市
100.161.0	100.237.*	北京市
100.238.0	100.238.*	山西省运城市
100.239.0	100.243.*	山西省
100.244.0	100.*.*	山西省大同市
101.0.0	101.63.*	亚太地区
101.64.0	101.127.*	日本
101.128.0	101.135.*	印度尼西亚
101.136.0	101.143.*	澳大利亚
101.144.0	101.159.*	印度
101.160.0	101.167.*	澳大利亚
101.168.0	101.175.*	香港
101.176.0	101.183.*	蒙古
101.184.0	101.191.*	印度尼西亚
101.192.0	101.207.*	韩国
101.208.0	101.223.*	北京市
101.224.0	101.*.*	韩国
102.0.0	119.*.*	日本
120.0.0	122.*.*	马来西亚
123.0.0	123.*.*	英国
124.0.0	126.*.*	韩国
127.0.0	127.31.*	菲律宾
127.32.0	127.63.*	阿富汗
127.64.0	127.191.*	韩国
127.192.0	127.223.*	澳大利亚
127.224.0	127.*.*	香港
128.0.0	191.*.*	韩国
192.0.0	192.1.*	浙江省宁波市
192.2.0	192.2.*	浙江省台州市
192.3.0	192.7.*	浙江省杭州市
192.8.0	192.8.*	浙江省温州市
192.9.0	192.9.*	浙江省金华市
192.10.0	192.10.*	浙江省杭州市
192.11.0	192.11.*	浙江省湖州市
192.12.0	192.12.*	浙江省杭州市
192.13.0	192.13.*	浙江省金华市
192.14.0	192.15.*	浙江省杭州市
192.16.0	192.23.*	浙江省绍兴市
192.24.0	192.28.*	浙江省杭州市
192.29.0	192.29.*	中国
192.30.0	192.31.*	浙江省绍兴市
192.32.0	192.35.*	浙江省宁波市
192.36.0	192.39.*	浙江省
192.40.0	192.43.*	同济大学
192.44.0	192.47.*	上海财经大学
192.48.0	192.59.*	浙江省
192.60.0	192.127.*	中国
192.128.0	192.128.*	江西省上饶市
192.129.0	192.131.*	江西省南昌市
192.132.0	192.132.*	江西省景德镇市
192.133.0	192.135.*	江西省南昌市
192.136.0	192.138.*	江西省
192.139.0	192.159.*	中国
192.160.0	192.*.*	福建省
193.0.0	193.15.*	内蒙古赤峰市
193.16.0	193.31.*	内蒙古包头市
193.32.0	193.55.*	内蒙古呼和浩特市
193.56.0	193.63.*	内蒙古呼伦贝尔市
193.64.0	193.95.*	内蒙古呼和浩特市
193.96.0	193.127.*	中国
193.128.0	193.163.*	天津市
193.164.0	193.191.*	中国
193.192.0	193.220.*	河北省石家庄市
193.221.0	193.223.*	中国
193.224.0	193.247.*	河北省邯郸市
193.248.0	193.*.*	河北省石家庄市
194.0.0	194.127.*	北京市
194.128.0	194.191.*	清华大学
194.192.0	194.*.*	中国
195.0.0	195.191.*	北京市
195.192.0	195.223.*	河北省石家庄市
195.224.0	195.239.*	河北省保定市
195.240.0	195.*.*	河北省廊坊市
196.0.0	199.*.*	北京市
200.0.0	200.47.*	澳大利亚
200.48.0	200.59.*	印度
200.60.0	200.63.*	孟加拉
200.64.0	200.127.*	韩国
200.128.0	200.191.*	日本
200.192.0	200.199.*	孟加拉
200.200.0	200.207.*	日本
200.208.0	200.215.*	澳大利亚
200.216.0	200.223.*	亚太地区
200.224.0	200.239.*	澳大利亚
200.240.0	200.*.*	亚太地区
201.0.0	201.0.*	广东省茂名市
201.1.0	201.6.*	广东省珠海市
201.7.0	201.9.*	广东省茂名市
201.10.0	201.10.*	广东省信宜市
201.11.0	201.13.*	广东省茂名市
201.14.0	201.14.*	广东省云浮市
201.15.0	201.23.*	广东省茂名市
201.24.0	201.24.*	广东省东莞市
201.25.0	201.25.*	广东省佛山市
201.26.0	201.27.*	广东省东莞市
201.28.0	201.31.*	广东省佛山市
201.32.0	201.35.*	广东省江门市
201.36.0	201.36.*	广东省广州市
201.37.0	201.37.*	广东省深圳市
201.38.0	201.38.*	广东省江门市
201.39.0	201.39.*	广东省深圳市
201.40.0	201.43.*	广东省珠海市
201.44.0	201.44.*	广东省汕头市
201.45.0	201.45.*	广东省梅州市
201.46.0	201.47.*	广东省广州市
201.48.0	201.49.*	广东省阳江市
201.50.0	201.55.*	广东省云浮市
201.56.0	201.63.*	广东省潮州市
201.64.0	201.65.*	广东省惠州市
201.66.0	201.66.*	广东省肇庆市
201.67.0	201.67.*	广东省中山市
201.68.0	201.70.*	广东省惠州市
201.71.0	201.72.*	广东省中山市
201.73.0	201.88.*	广东省茂名市
201.89.0	201.91.*	广东省韶关市
201.92.0	201.93.*	广东省梅州市
201.94.0	201.97.*	广东省广州市
201.98.0	201.99.*	广东省江门市
201.100.0	201.103.*	中国
201.104.0	201.109.*	福建省福州市
201.110.0	201.111.*	中国
201.112.0	201.115.*	四川省成都市
201.116.0	201.119.*	中国
201.120.0	201.124.*	广东省深圳市
201.125.0	201.127.*	福建省福州市
201.128.0	201.131.*	上海市
201.132.0	201.135.*	广东省广州市
201.136.0	201.139.*	广东省汕头市
201.140.0	201.148.*	广东省
201.149.0	201.157.*	广东省深圳市
201.158.0	201.159.*	广东省
201.160.0	201.175.*	广东省肇庆市
201.176.0	201.179.*	广东省佛山市
201.180.0	201.189.*	广东省肇庆市
201.190.0	201.190.*	广东省云浮市
201.191.0	201.191.*	广东省肇庆市
201.192.0	201.196.*	中国
201.197.0	201.217.*	广东省广州市
201.218.0	201.223.*	中国
201.224.0	201.224.*	广东省深圳市
201.225.0	201.244.*	中国
201.245.0	201.245.*	广东省广州市天河区
201.246.0	201.254.*	中国
201.*.0	201.*.*	广东省江门市
202.0.0	203.*.*	香港
204.0.0	204.127.*	福建省福州市
204.128.0	204.*.*	福建省厦门市
205.0.0	205.127.*	福建省泉州市
205.128.0	205.191.*	福建省宁德市
205.192.0	205.206.*	福建省莆田市
205.207.0	205.207.*	福建省晋城市
