0.0.0.0	0.0.0.0	4l
87.246.0.0	87.246.63.*	保加利亚
87.246.64.0	87.246.127.*	英国
87.246.128.0	87.246.191.*	拉脱维亚
87.246.192.0	87.246.*.*	波兰
87.247.0.0	87.247.63.*	哈萨克斯坦
87.247.64.0	87.247.127.*	立陶宛
87.247.128.0	87.247.159.*	英国
87.247.160.0	87.247.191.*	伊朗
87.247.192.0	87.247.223.*	奥地利
87.247.224.0	87.247.239.*	意大利
87.247.240.0	87.247.247.*	英国
87.247.248.0	87.247.*.*	保加利亚
87.248.0.0	87.248.31.*	挪威
87.248.32.0	87.248.63.*	意大利
87.248.64.0	87.248.95.*	波兰
87.248.96.0	87.248.127.*	英国
87.248.128.0	87.248.159.*	伊朗
87.248.160.0	87.248.191.*	摩尔多瓦
87.248.192.0	87.248.223.*	欧洲
87.248.224.0	87.249.63.*	俄罗斯
87.249.64.0	87.249.95.*	英国
87.249.96.0	87.249.127.*	荷兰
87.249.128.0	87.249.159.*	捷克
87.249.160.0	87.249.191.*	瑞典
87.249.192.0	87.250.31.*	俄罗斯
87.250.32.0	87.250.63.*	塞尔维亚
87.250.64.0	87.250.95.*	意大利
87.250.96.0	87.250.127.*	波黑
87.250.128.0	87.250.159.*	荷兰
87.250.160.0	87.250.191.*	波兰
87.250.192.0	87.250.*.*	俄罗斯
87.251.0.0	87.251.31.*	土耳其
87.251.32.0	87.251.63.*	荷兰
87.251.64.0	87.251.191.*	俄罗斯
87.251.192.0	87.251.223.*	瑞典
87.251.224.0	87.251.*.*	波兰
87.252.0.0	87.252.31.*	法国
87.252.32.0	87.252.63.*	英国
87.252.64.0	87.252.95.*	挪威
87.252.96.0	87.252.127.*	巴林
87.252.128.0	87.252.159.*	克罗地亚
87.252.160.0	87.252.191.*	保加利亚
87.252.192.0	87.252.223.*	爱尔兰
87.252.224.0	87.252.*.*	白俄罗斯
87.253.0.0	87.253.31.*	俄罗斯
87.253.32.0	87.253.63.*	格鲁吉亚
87.253.64.0	87.253.95.*	瑞典
87.253.96.0	87.253.127.*	意大利
87.253.128.0	87.253.159.*	荷兰
87.253.160.0	87.253.191.*	德国
87.253.192.0	87.253.*.*	俄罗斯
87.254.0.0	87.254.31.*	英国
87.254.32.0	87.254.63.*	挪威
87.254.64.0	87.254.95.*	英国
87.254.96.0	87.254.127.*	卢森堡
87.254.128.0	87.254.159.*	俄罗斯
87.254.160.0	87.254.191.*	保加利亚
87.254.192.0	87.254.223.*	芬兰
87.254.224.0	87.254.*.*	摩纳哥
87.*.0.0	87.*.31.*	俄罗斯
87.*.32.0	87.*.63.*	荷兰
87.*.64.0	87.*.95.*	摩尔多瓦
87.*.96.0	87.*.127.*	肯尼亚
87.*.128.0	87.*.159.*	法国
87.*.160.0	87.*.191.*	瑞典
87.*.192.0	87.*.223.*	哈萨克斯坦
87.*.224.0	87.*.*.*	俄罗斯
88.0.0.0	88.31.*.*	西班牙
88.32.0.0	88.63.*.*	意大利
88.64.0.0	88.79.*.*	德国
88.80.0.0	88.80.31.*	瑞典
88.80.32.0	88.80.63.*	俄罗斯
88.80.64.0	88.80.95.*	意大利
88.80.96.0	88.80.159.*	保加利亚
88.80.160.0	88.80.191.*	英国
88.80.192.0	88.80.223.*	德国
88.80.224.0	88.80.*.*	斯洛伐克
88.81.0.0	88.81.31.*	沙特阿拉伯
88.81.32.0	88.81.63.*	俄罗斯
88.81.64.0	88.81.95.*	捷克
88.81.96.0	88.81.127.*	爱尔兰
88.81.128.0	88.81.159.*	英国
88.81.160.0	88.81.191.*	意大利
88.81.192.0	88.81.223.*	俄罗斯
88.81.224.0	88.81.*.*	乌克兰
88.82.0.0	88.82.31.*	英国
88.82.32.0	88.82.63.*	比利时
88.82.64.0	88.82.95.*	俄罗斯
88.82.96.0	88.82.127.*	列支敦士登
88.82.128.0	88.82.159.*	英国
88.82.160.0	88.82.191.*	俄罗斯
88.82.192.0	88.82.223.*	西班牙
88.82.224.0	88.82.*.*	德国
88.83.0.0	88.83.31.*	格陵兰
88.83.32.0	88.83.63.*	瑞典
88.83.64.0	88.83.95.*	丹麦
88.83.96.0	88.83.127.*	英国
88.83.128.0	88.83.159.*	瑞典
88.83.160.0	88.83.191.*	捷克
88.83.192.0	88.83.223.*	俄罗斯
88.83.224.0	88.83.*.*	捷克
88.84.0.0	88.84.31.*	瑞士
88.84.32.0	88.84.63.*	挪威
88.84.64.0	88.84.95.*	西班牙
88.84.96.0	88.84.127.*	沙特阿拉伯
88.84.128.0	88.84.159.*	德国
88.84.160.0	88.84.191.*	挪威
88.84.192.0	88.84.223.*	俄罗斯
88.84.224.0	88.84.*.*	瑞典
88.85.0.0	88.85.31.*	瑞士
88.85.32.0	88.85.63.*	法罗群岛
88.85.64.0	88.85.95.*	荷兰
88.85.96.0	88.85.127.*	马其顿
88.85.128.0	88.85.159.*	芬兰
88.85.160.0	88.85.223.*	俄罗斯
88.85.224.0	88.85.*.*	沙特阿拉伯
88.86.0.0	88.86.31.*	叙利亚
88.86.32.0	88.86.63.*	瑞典
88.86.64.0	88.86.95.*	俄罗斯
88.86.96.0	88.86.127.*	捷克
88.86.128.0	88.86.159.*	芬兰
88.86.160.0	88.86.191.*	意大利
88.86.192.0	88.86.223.*	俄罗斯
88.86.224.0	88.86.*.*	法国
88.87.0.0	88.87.31.*	保加利亚
88.87.32.0	88.87.63.*	挪威
88.87.64.0	88.87.95.*	俄罗斯
88.87.96.0	88.87.127.*	意大利
88.87.128.0	88.87.159.*	西班牙
88.87.160.0	88.87.191.*	爱尔兰
88.87.192.0	88.87.223.*	西班牙
88.87.224.0	88.87.*.*	匈牙利
88.88.0.0	88.95.*.*	挪威
88.96.0.0	88.99.*.*	英国
88.100.0.0	88.103.*.*	捷克
88.104.0.0	88.105.*.*	美国
88.106.0.0	88.111.*.*	英国
88.112.0.0	88.115.*.*	芬兰
88.116.0.0	88.117.*.*	奥地利
88.118.0.0	88.119.*.*	立陶宛
88.120.0.0	88.127.*.*	法国
88.128.0.0	88.128.*.*	德国
88.129.0.0	88.129.*.*	瑞典
88.130.0.0	88.130.*.*	德国
88.131.0.0	88.131.*.*	瑞典
88.132.0.0	88.132.*.*	匈牙利
88.133.0.0	88.134.*.*	德国
88.135.0.0	88.135.15.*	俄罗斯
88.135.16.0	88.135.31.*	乌克兰
88.135.32.0	88.135.47.*	伊朗
88.135.48.0	88.135.63.*	捷克
88.135.64.0	88.135.95.*	乌克兰
88.135.96.0	88.135.111.*	罗马尼亚
88.135.112.0	88.135.127.*	乌克兰
88.135.128.0	88.135.159.*	拉脱维亚
88.135.160.0	88.135.191.*	波兰
88.135.192.0	88.135.*.*	乌克兰
88.136.0.0	88.143.*.*	法国
88.144.0.0	88.145.*.*	英国
88.146.0.0	88.146.*.*	捷克
88.147.0.0	88.147.127.*	比利时
88.147.128.0	88.147.*.*	俄罗斯
88.148.0.0	88.148.127.*	西班牙
88.148.128.0	88.148.*.*	芬兰
88.149.0.0	88.149.127.*	冰岛
88.149.128.0	88.149.*.*	意大利
88.150.0.0	88.150.127.*	德国
88.150.128.0	88.150.*.*	塞尔维亚
88.151.0.0	88.151.7.*	爱尔兰
88.151.8.0	88.151.15.*	俄罗斯
88.151.16.0	88.151.23.*	西班牙
88.151.24.0	88.151.31.*	爱尔兰
88.151.32.0	88.151.39.*	荷兰
88.151.40.0	88.151.47.*	丹麦
88.151.48.0	88.151.55.*	冰岛
88.151.56.0	88.151.63.*	挪威
88.151.64.0	88.151.71.*	德国
88.151.72.0	88.151.79.*	奥地利
88.151.80.0	88.151.87.*	爱尔兰
88.151.88.0	88.151.95.*	俄罗斯
88.151.96.0	88.151.103.*	匈牙利
88.151.104.0	88.151.119.*	俄罗斯
88.151.120.0	88.151.127.*	欧洲
88.151.128.0	88.151.135.*	英国
88.151.136.0	88.151.143.*	沙特阿拉伯
88.151.144.0	88.151.151.*	瑞士
88.151.152.0	88.151.159.*	法国
88.151.160.0	88.151.167.*	挪威
88.151.168.0	88.151.175.*	瑞典
88.151.176.0	88.151.183.*	哈萨克斯坦
88.151.184.0	88.151.191.*	俄罗斯
88.151.192.0	88.151.199.*	阿塞拜疆
88.151.200.0	88.151.207.*	俄罗斯
88.151.208.0	88.151.215.*	西班牙
88.151.216.0	88.151.223.*	英国
88.151.224.0	88.151.231.*	欧洲
88.151.232.0	88.151.239.*	法国
88.151.240.0	88.151.247.*	比利时
88.151.248.0	88.151.*.*	俄罗斯
88.152.0.0	88.153.*.*	德国
88.154.0.0	88.155.*.*	乌克兰
88.156.0.0	88.156.*.*	波兰
88.157.0.0	88.157.*.*	葡萄牙
88.158.0.0	88.158.*.*	罗马尼亚
88.159.0.0	88.159.*.*	荷兰
88.160.0.0	88.191.*.*	法国
88.192.0.0	88.195.*.*	芬兰
88.196.0.0	88.196.*.*	爱沙尼亚
88.197.0.0	88.197.127.*	希腊
88.197.128.0	88.197.*.*	比利时
88.198.0.0	88.198.*.*	德国
88.199.0.0	88.199.*.*	波兰
88.200.0.0	88.200.127.*	斯洛文尼亚
88.200.128.0	88.200.*.*	俄罗斯
88.201.0.0	88.201.127.*	巴林
88.201.128.0	88.201.*.*	俄罗斯
88.202.0.0	88.202.127.*	意大利
88.202.128.0	88.202.*.*	英国
88.203.0.0	88.203.127.*	马耳他
88.203.128.0	88.203.*.*	保加利亚
88.204.0.0	88.204.127.*	俄罗斯
88.204.128.0	88.204.*.*	哈萨克斯坦
88.205.0.0	88.205.127.*	德国
88.205.128.0	88.206.127.*	俄罗斯
88.206.128.0	88.206.*.*	瑞典
88.207.0.0	88.207.127.*	克罗地亚
88.207.128.0	88.207.*.*	卢森堡
88.208.0.0	88.208.63.*	乌克兰
88.208.64.0	88.208.127.*	捷克
88.208.128.0	88.208.191.*	德国
88.208.192.0	88.208.*.*	英国
88.209.0.0	88.209.63.*	德国
88.209.64.0	88.209.127.*	摩纳哥
88.209.128.0	88.209.*.*	匈牙利
88.210.0.0	88.210.63.*	俄罗斯
88.210.64.0	88.210.127.*	葡萄牙
88.210.128.0	88.210.191.*	英国
88.210.192.0	88.210.*.*	格鲁吉亚
88.211.0.0	88.211.127.*	英国
88.211.128.0	88.211.191.*	荷兰
88.211.192.0	88.211.*.*	英国
88.212.0.0	88.212.63.*	斯洛伐克
88.212.64.0	88.212.127.*	丹麦
88.212.128.0	88.212.191.*	英国
88.212.192.0	88.212.*.*	俄罗斯
88.213.0.0	88.213.127.*	沙特阿拉伯
88.213.128.0	88.213.191.*	意大利
88.213.192.0	88.213.*.*	保加利亚
88.214.0.0	88.214.63.*	德国
88.214.64.0	88.214.127.*	乌克兰
88.214.128.0	88.214.191.*	葡萄牙
88.214.192.0	88.215.63.*	英国
88.215.64.0	88.215.127.*	德国
88.215.128.0	88.215.191.*	俄罗斯
88.215.192.0	88.215.*.*	德国
88.216.0.0	88.216.*.*	立陶宛
88.217.0.0	88.217.*.*	德国
88.218.0.0	88.218.*.*	希腊
88.219.0.0	88.219.*.*	法国
88.220.0.0	88.220.*.*	波兰
88.221.0.0	88.221.*.*	欧洲
88.222.0.0	88.223.*.*	立陶宛
88.224.0.0	88.*.*.*	土耳其
89.0.0.0	89.1.*.*	德国
89.2.0.0	89.3.*.*	法国
89.4.0.0	89.5.*.*	沙特阿拉伯
89.6.0.0	89.7.*.*	西班牙
89.8.0.0	89.11.*.*	挪威
89.12.0.0	89.15.*.*	德国
89.16.0.0	89.16.31.*	法国
89.16.32.0	89.16.63.*	俄罗斯
89.16.64.0	89.16.95.*	爱尔兰
89.16.96.0	89.16.127.*	俄罗斯
89.16.128.0	89.16.159.*	德国
89.16.160.0	89.16.191.*	英国
89.16.192.0	89.16.223.*	奥地利
89.16.224.0	89.16.*.*	英国
89.17.0.0	89.17.31.*	克罗地亚
89.17.32.0	89.17.63.*	俄罗斯
89.17.64.0	89.17.95.*	芬兰
89.17.96.0	89.17.127.*	英国
89.17.128.0	89.17.159.*	马耳他
89.17.160.0	89.17.191.*	意大利
89.17.192.0	89.17.223.*	西班牙
89.17.224.0	89.17.*.*	波兰
89.18.0.0	89.18.17.*	罗马尼亚
89.18.18.0	89.18.18.*	罗马尼亚布
89.18.19.0	89.18.31.*	罗马尼亚
89.18.32.0	89.18.63.*	克罗地亚
89.18.64.0	89.18.95.*	爱尔兰
89.18.96.0	89.18.127.*	瑞典
89.18.128.0	89.18.159.*	俄罗斯
89.18.160.0	89.18.191.*	荷兰
89.18.192.0	89.18.223.*	拉脱维亚
89.18.224.0	89.18.*.*	芬兰
89.19.0.0	89.19.31.*	土耳其
89.19.32.0	89.19.63.*	俄罗斯
89.19.64.0	89.19.95.*	爱尔兰
89.19.96.0	89.19.127.*	乌克兰
89.19.128.0	89.19.159.*	丹麦
89.19.160.0	89.19.223.*	俄罗斯
89.19.224.0	89.19.*.*	德国
89.20.0.0	89.20.63.*	俄罗斯
89.20.64.0	89.20.95.*	荷兰
89.20.96.0	89.20.159.*	俄罗斯
89.20.160.0	89.20.191.*	荷兰
89.20.192.0	89.20.223.*	英国
89.20.224.0	89.20.*.*	挪威
89.21.0.0	89.21.31.*	英国
89.21.32.0	89.21.63.*	德国
89.21.64.0	89.21.95.*	乌克兰
89.21.96.0	89.21.127.*	罗马尼亚
89.21.128.0	89.21.159.*	俄罗斯
89.21.160.0	89.21.191.*	荷兰
89.21.192.0	89.21.223.*	意大利
89.21.224.0	89.21.*.*	英国
89.22.0.0	89.22.*.*	欧洲和中东地区
89.23.0.0	89.23.31.*	捷克
89.23.32.0	89.23.63.*	乌克兰
89.23.64.0	89.23.95.*	塞尔维亚
89.23.96.0	89.23.223.*	捷克
89.23.224.0	89.23.*.*	丹麦
89.24.0.0	89.24.*.*	捷克
89.25.0.0	89.25.127.*	保加利亚
89.25.128.0	89.25.*.*	波兰
89.26.0.0	89.26.127.*	奥地利
89.26.128.0	89.26.*.*	葡萄牙
89.27.0.0	89.27.127.*	芬兰
89.27.128.0	89.27.*.*	德国
89.28.0.0	89.28.127.*	摩尔多瓦
89.28.128.0	89.28.135.*	哈萨克斯坦
89.28.136.0	89.28.143.*	德国
89.28.144.0	89.28.151.*	法国
89.28.152.0	89.28.159.*	巴林
89.28.160.0	89.28.167.*	俄罗斯
89.28.168.0	89.28.175.*	英国
89.28.176.0	89.28.183.*	爱尔兰
89.28.184.0	89.28.191.*	英国
89.28.192.0	89.28.199.*	俄罗斯
89.28.200.0	89.28.207.*	乌克兰
89.28.208.0	89.28.215.*	英国
89.28.216.0	89.28.223.*	约旦
89.28.224.0	89.28.231.*	波兰
89.28.232.0	89.28.239.*	英国
89.28.240.0	89.28.247.*	德国
89.28.248.0	89.28.*.*	俄罗斯
89.29.0.0	89.29.127.*	捷克
89.29.128.0	89.29.*.*	西班牙
89.30.0.0	89.30.127.*	法国
89.30.128.0	89.30.*.*	荷兰
89.31.0.0	89.31.7.*	德国
89.31.8.0	89.31.15.*	捷克
89.31.16.0	89.31.23.*	俄罗斯
89.31.24.0	89.31.31.*	哈萨克斯坦
89.31.32.0	89.31.39.*	俄罗斯
89.31.40.0	89.31.47.*	捷克
89.31.48.0	89.31.55.*	英国
89.31.56.0	89.31.63.*	意大利
89.31.64.0	89.31.71.*	波兰
89.31.72.0	89.31.79.*	意大利
89.31.80.0	89.31.95.*	俄罗斯
89.31.96.0	89.31.103.*	荷兰
89.31.104.0	89.31.119.*	俄罗斯
89.31.120.0	89.31.127.*	瑞士
89.31.128.0	89.31.135.*	奥地利
89.31.136.0	89.31.143.*	德国
89.31.144.0	89.31.151.*	法国
89.31.152.0	89.31.159.*	马其顿
89.31.160.0	89.31.167.*	捷克
89.31.168.0	89.31.175.*	爱尔兰
89.31.176.0	89.31.183.*	希腊
89.31.184.0	89.31.191.*	俄罗斯
89.31.192.0	89.31.199.*	巴林
89.31.200.0	89.31.207.*	意大利
89.31.208.0	89.31.215.*	英国
89.31.216.0	89.31.223.*	比利时
89.31.224.0	89.31.231.*	葡萄牙
89.31.232.0	89.31.239.*	英国
89.31.240.0	89.31.247.*	俄罗斯
89.31.248.0	89.31.*.*	瑞典
89.32.0.0	89.47.*.*	欧洲
89.48.0.0	89.63.*.*	德国
89.64.0.0	89.79.*.*	波兰
89.80.0.0	89.95.*.*	法国
89.96.0.0	89.97.*.*	意大利
89.98.0.0	89.99.*.*	荷兰
89.100.0.0	89.101.*.*	爱尔兰
89.102.0.0	89.103.*.*	捷克
89.104.0.0	89.104.31.*	奥地利
89.104.32.0	89.104.63.*	英国
89.104.64.0	89.104.127.*	俄罗斯
89.104.128.0	89.104.159.*	冰岛
89.104.160.0	89.104.191.*	荷兰
89.104.192.0	89.104.223.*	丹麦
89.104.224.0	89.105.31.*	英国
89.105.32.0	89.105.63.*	挪威
89.105.64.0	89.105.95.*	意大利
89.105.96.0	89.105.127.*	英国
89.105.128.0	89.105.159.*	俄罗斯
89.105.160.0	89.105.191.*	奥地利
89.105.192.0	89.105.223.*	荷兰
89.105.224.0	89.105.*.*	乌克兰
89.106.0.0	89.106.31.*	土耳其
89.106.32.0	89.106.63.*	芬兰
89.106.64.0	89.106.95.*	德国
89.106.96.0	89.106.127.*	保加利亚
89.106.128.0	89.106.135.*	英国
89.106.136.0	89.106.143.*	爱尔兰
89.106.144.0	89.106.151.*	英国
89.106.152.0	89.106.159.*	德国
89.106.160.0	89.106.167.*	荷兰
89.106.168.0	89.106.175.*	俄罗斯
89.106.176.0	89.106.183.*	英国
89.106.184.0	89.106.191.*	法国
89.106.192.0	89.106.199.*	俄罗斯
89.106.200.0	89.106.207.*	卢森堡
89.106.208.0	89.106.215.*	奥地利
89.106.216.0	89.106.223.*	德国
89.106.224.0	89.106.231.*	英国
89.106.232.0	89.106.239.*	哈萨克斯坦
89.106.240.0	89.106.247.*	比利时
89.106.248.0	89.106.*.*	俄罗斯
89.107.0.0	89.107.7.*	英国
89.107.8.0	89.107.15.*	科威特
89.107.16.0	89.107.23.*	英国
89.107.24.0	89.107.39.*	俄罗斯
89.107.40.0	89.107.47.*	英国
89.107.48.0	89.107.55.*	西班牙
89.107.56.0	89.107.63.*	英国
89.107.64.0	89.107.71.*	德国
89.107.72.0	89.107.79.*	英国
89.107.80.0	89.107.87.*	俄罗斯
89.107.88.0	89.107.95.*	意大利
89.107.96.0	89.107.103.*	哈萨克斯坦
89.107.104.0	89.107.111.*	意大利
89.107.112.0	89.107.127.*	俄罗斯
89.107.128.0	89.107.135.*	捷克
89.107.136.0	89.107.143.*	法国
89.107.144.0	89.107.151.*	斯洛伐克
89.107.152.0	89.107.159.*	波兰
89.107.160.0	89.107.167.*	德国
89.107.168.0	89.107.175.*	法国
89.107.176.0	89.107.183.*	西班牙
89.107.184.0	89.107.191.*	德国
89.107.192.0	89.107.207.*	俄罗斯
89.107.208.0	89.107.223.*	瑞典
89.107.224.0	89.107.231.*	土耳其
89.107.232.0	89.107.239.*	英国
89.107.240.0	89.107.247.*	西班牙
89.107.248.0	89.107.*.*	匈牙利
89.108.0.0	89.108.63.*	沙特阿拉伯
89.108.64.0	89.108.127.*	俄罗斯
89.108.128.0	89.108.191.*	黎巴嫩
89.108.192.0	89.108.*.*	波兰
89.109.0.0	89.109.63.*	俄罗斯
89.109.64.0	89.109.127.*	葡萄牙
89.109.128.0	89.110.63.*	俄罗斯
89.110.64.0	89.110.127.*	乌克兰
89.110.128.0	89.110.191.*	德国
89.110.192.0	89.110.*.*	塞尔维亚
89.111.0.0	89.111.63.*	拉脱维亚
89.111.64.0	89.111.127.*	捷克
89.111.128.0	89.111.191.*	俄罗斯
89.111.192.0	89.111.*.*	波黑
89.112.0.0	89.113.*.*	俄罗斯
89.114.0.0	89.115.*.*	欧洲
89.116.0.0	89.117.*.*	立陶宛
89.118.0.0	89.119.*.*	意大利
89.120.0.0	89.123.*.*	罗马尼亚
89.124.0.0	89.127.*.*	爱尔兰
89.128.0.0	89.131.*.*	西班牙
89.132.0.0	89.135.*.*	匈牙利
89.136.0.0	89.136.*.*	罗马尼亚
89.137.0.0	89.137.*.*	美国
89.138.0.0	89.138.*.*	以色列
89.139.0.0	89.139.*.*	美国
89.140.0.0	89.141.*.*	西班牙
89.142.0.0	89.143.*.*	斯洛文尼亚
89.144.0.0	89.144.63.*	德国
89.144.64.0	89.144.127.*	沙特阿拉伯
89.144.128.0	89.144.191.*	伊朗
89.144.192.0	89.144.*.*	奥地利
89.145.0.0	89.145.63.*	德国
89.145.64.0	89.145.127.*	英国
89.145.128.0	89.145.191.*	俄罗斯
89.145.192.0	89.145.*.*	英国
89.146.0.0	89.146.63.*	荷兰
89.146.64.0	89.146.127.*	乌兹别克斯坦
89.146.128.0	89.146.191.*	波黑
89.146.192.0	89.146.*.*	德国
89.147.0.0	89.147.63.*	沙特阿拉伯
89.147.64.0	89.147.127.*	匈牙利
89.147.128.0	89.147.191.*	瑞典
89.147.192.0	89.147.*.*	阿塞拜疆
89.148.0.0	89.148.63.*	巴林
89.148.64.0	89.148.127.*	匈牙利
89.148.128.0	89.148.191.*	意大利
89.148.192.0	89.148.*.*	俄罗斯
89.149.0.0	89.149.63.*	罗马尼亚
89.149.64.0	89.149.127.*	摩尔多瓦
89.149.128.0	89.149.191.*	欧洲
89.149.192.0	89.149.*.*	德国
89.150.0.0	89.150.15.*	格鲁吉亚
89.150.16.0	89.150.31.*	英国
89.150.32.0	89.150.63.*	意大利
89.150.64.0	89.150.191.*	丹麦
89.150.192.0	89.150.*.*	瑞典
89.151.0.0	89.151.63.*	波兰
89.151.64.0	89.151.127.*	英国
89.151.128.0	89.151.191.*	俄罗斯
89.151.192.0	89.151.*.*	挪威
89.152.0.0	89.155.*.*	葡萄牙
89.156.0.0	89.159.*.*	法国
89.160.0.0	89.160.127.*	瑞典
89.160.128.0	89.160.*.*	冰岛
89.161.0.0	89.161.*.*	波兰
89.162.0.0	89.162.127.*	挪威
89.162.128.0	89.162.*.*	乌克兰
89.163.0.0	89.163.127.*	俄罗斯
89.163.128.0	89.163.*.*	德国
89.164.0.0	89.164.*.*	克罗地亚
89.165.0.0	89.165.127.*	伊朗
89.165.128.0	89.165.*.*	罗马尼亚
89.166.0.0	89.166.127.*	芬兰
89.166.128.0	89.166.*.*	德国
89.167.0.0	89.167.127.*	波兰
89.167.128.0	89.168.*.*	英国
89.169.0.0	89.169.*.*	俄罗斯
89.170.0.0	89.170.*.*	法国
89.171.0.0	89.171.*.*	波兰
89.172.0.0	89.172.*.*	克罗地亚
89.173.0.0	89.173.*.*	斯洛伐克
89.174.0.0	89.174.*.*	波兰
89.175.0.0	89.175.*.*	俄罗斯
89.176.0.0	89.177.*.*	捷克
89.178.0.0	89.179.*.*	俄罗斯
89.180.0.0	89.181.*.*	葡萄牙
89.182.0.0	89.183.*.*	德国
89.184.0.0	89.184.31.*	俄罗斯
89.184.32.0	89.184.63.*	爱尔兰
89.184.64.0	89.184.95.*	乌克兰
89.184.96.0	89.184.127.*	意大利
89.184.128.0	89.184.159.*	丹麦
89.184.160.0	89.184.191.*	荷兰
89.184.192.0	89.184.223.*	伊朗
89.184.224.0	89.184.*.*	俄罗斯
89.185.0.0	89.185.31.*	乌克兰
89.185.32.0	89.185.63.*	法国
89.185.64.0	89.185.95.*	俄罗斯
89.185.96.0	89.185.127.*	奥地利
89.185.128.0	89.185.159.*	英国
89.185.160.0	89.185.191.*	法国
89.185.192.0	89.185.223.*	马其顿
89.185.224.0	89.185.*.*	捷克
89.186.0.0	89.186.31.*	波兰
89.186.32.0	89.186.63.*	圣马力诺
89.186.64.0	89.186.95.*	意大利
89.186.96.0	89.186.127.*	匈牙利
89.186.128.0	89.186.159.*	德国
89.186.160.0	89.186.191.*	丹麦
89.186.192.0	89.186.223.*	保加利亚
89.186.224.0	89.186.*.*	俄罗斯
89.187.0.0	89.187.31.*	乌克兰
89.187.32.0	89.187.63.*	摩尔多瓦
89.187.64.0	89.187.127.*	英国
89.187.128.0	89.187.191.*	捷克
89.187.192.0	89.187.223.*	俄罗斯
89.187.224.0	89.187.*.*	波兰
89.188.0.0	89.188.31.*	荷兰
89.188.32.0	89.188.63.*	黑山
89.188.64.0	89.188.95.*	沙特阿拉伯
89.188.96.0	89.188.127.*	俄罗斯
89.188.128.0	89.188.159.*	意大利
89.188.160.0	89.188.191.*	俄罗斯
89.188.192.0	89.188.223.*	波兰
89.188.224.0	89.189.31.*	俄罗斯
89.189.32.0	89.189.63.*	意大利
89.189.64.0	89.189.95.*	也门
89.189.96.0	89.189.191.*	俄罗斯
89.189.192.0	89.189.223.*	瑞典
89.189.224.0	89.189.*.*	沙特阿拉伯
89.190.0.0	89.190.31.*	芬兰
89.190.32.0	89.190.95.*	捷克
89.190.96.0	89.190.127.*	立陶宛
89.190.128.0	89.190.159.*	巴林
89.190.160.0	89.190.191.*	意大利
89.190.192.0	89.190.223.*	保加利亚
89.190.224.0	89.190.*.*	俄罗斯
89.191.0.0	89.191.31.*	挪威
89.191.32.0	89.191.63.*	爱尔兰
89.191.64.0	89.191.95.*	德国
89.191.96.0	89.191.127.*	拉脱维亚
89.191.128.0	89.191.191.*	波兰
89.191.192.0	89.191.223.*	英国
89.191.224.0	89.191.*.*	俄罗斯
89.192.0.0	89.195.*.*	英国
89.196.0.0	89.199.*.*	德国
89.200.0.0	89.200.127.*	荷兰
89.200.128.0	89.200.143.*	英国
89.200.144.0	89.200.167.*	波兰
89.200.168.0	89.200.175.*	德国
89.200.176.0	89.200.183.*	捷克
89.200.184.0	89.200.191.*	俄罗斯
89.200.192.0	89.200.199.*	芬兰
89.200.200.0	89.200.207.*	荷兰
89.200.208.0	89.200.215.*	波兰
89.200.216.0	89.200.223.*	英国
89.200.224.0	89.200.231.*	波兰
89.200.232.0	89.200.239.*	乌克兰
89.200.240.0	89.200.247.*	罗马尼亚
89.200.248.0	89.200.*.*	乌克兰
89.201.0.0	89.201.127.*	拉脱维亚
89.201.128.0	89.201.*.*	克罗地亚
89.202.0.0	89.202.127.*	德国
89.202.128.0	89.202.*.*	英国
89.203.0.0	89.203.127.*	科威特
89.203.128.0	89.203.*.*	捷克
89.204.0.0	89.204.127.*	俄罗斯
89.204.128.0	89.204.159.*	德国
89.204.160.0	89.204.*.*	爱尔兰
89.205.0.0	89.205.127.*	马其顿
89.205.128.0	89.205.*.*	荷兰
89.206.0.0	89.206.63.*	波兰
89.206.64.0	89.206.127.*	瑞士
89.206.128.0	89.207.7.*	英国
89.207.8.0	89.207.15.*	芬兰
89.207.16.0	89.207.23.*	瑞典
89.207.24.0	89.207.31.*	荷兰
89.207.32.0	89.207.47.*	俄罗斯
89.207.48.0	89.207.55.*	英国
89.207.56.0	89.207.63.*	爱尔兰
89.207.64.0	89.207.79.*	俄罗斯
89.207.80.0	89.207.87.*	意大利
89.207.88.0	89.207.103.*	俄罗斯
89.207.104.0	89.207.111.*	意大利
89.207.112.0	89.207.119.*	挪威
89.207.120.0	89.207.127.*	奥地利
89.207.128.0	89.207.135.*	荷兰
89.207.136.0	89.207.143.*	英国
89.207.144.0	89.207.151.*	奥地利
89.207.152.0	89.207.175.*	英国
89.207.176.0	89.207.183.*	俄罗斯
89.207.184.0	89.207.191.*	比利时
89.207.192.0	89.207.199.*	黑山
89.207.200.0	89.207.207.*	德国
89.207.208.0	89.207.215.*	英国
89.207.216.0	89.207.223.*	俄罗斯
89.207.224.0	89.207.231.*	爱尔兰
89.207.232.0	89.207.239.*	西班牙
89.207.240.0	89.207.247.*	拉脱维亚
89.207.248.0	89.207.*.*	德国
89.208.0.0	89.208.*.*	俄罗斯
89.209.0.0	89.209.*.*	乌克兰
89.210.0.0	89.210.*.*	希腊
89.211.0.0	89.211.*.*	卡塔尔
89.212.0.0	89.212.*.*	斯洛文尼亚
89.213.0.0	89.213.*.*	英国
89.214.0.0	89.214.*.*	葡萄牙
