
0.0.0	31.*.*	韩国
44.96.146	44.96.146	辽宁省大连市开发区
44.96.147	44.96.153	辽宁省大连市
44.96.154	44.96.154	辽宁省大连市开发区
44.96.155	44.96.157	辽宁省大连市
44.96.158	44.96.158	辽宁省大连市开发区
44.96.159	44.96.169	辽宁省大连市
44.96.170	44.96.170	辽宁省大连市开发区
44.96.171	44.96.177	辽宁省大连市
44.96.178	44.96.178	辽宁省大连市开发区
44.96.179	44.96.181	辽宁省大连市
44.96.182	44.96.182	辽宁省大连市开发区
44.96.183	44.96.197	辽宁省大连市
44.96.198	44.96.198	辽宁省大连市甘井子区
44.96.199	44.96.201	辽宁省大连市
44.96.202	44.96.202	辽宁省大连市开发区
44.96.203	44.96.209	辽宁省大连市
44.96.210	44.96.210	辽宁省大连市开发区
44.96.211	44.96.213	辽宁省大连市
44.96.214	44.96.214	辽宁省大连市开发区
44.96.215	44.96.225	辽宁省大连市
44.96.226	44.96.226	辽宁省大连市开发区
44.96.227	44.96.233	辽宁省大连市
44.96.234	44.96.234	辽宁省大连市开发区
44.96.235	44.96.237	辽宁省大连市
44.96.238	44.96.238	辽宁省大连市开发区
44.96.239	44.96.245	辽宁省大连市
44.96.246	44.96.246	辽宁省大连市开发区
44.96.247	44.96.249	辽宁省大连市
44.96.250	44.96.250	辽宁省大连市开发区
44.96.251	44.97.1	辽宁省大连市
44.97.2	44.97.2	辽宁省大连市开发区
44.97.3	44.97.9	辽宁省大连市
44.97.10	44.97.10	辽宁省大连市开发区
44.97.11	44.97.13	辽宁省大连市
44.97.14	44.97.14	辽宁省大连市开发区
44.97.15	44.97.21	辽宁省大连市
44.97.22	44.97.22	辽宁省大连市开发区
44.97.23	44.97.25	辽宁省大连市
44.97.26	44.97.26	辽宁省大连市开发区
44.97.27	44.97.33	辽宁省大连市
44.97.34	44.97.34	辽宁省大连市开发区
44.97.35	44.97.41	辽宁省大连市
44.97.42	44.97.42	辽宁省大连市开发区
44.97.43	44.97.97	辽宁省大连市
44.97.98	44.97.98	辽宁省大连市开发区
44.97.99	44.98.1	辽宁省大连市
44.98.2	44.98.2	辽宁省大连市沙河口区
44.98.3	44.98.9	辽宁省大连市
44.98.10	44.98.10	辽宁省大连市中山区
44.98.11	44.98.13	辽宁省大连市
44.98.14	44.98.14	辽宁省大连市沙河口区
44.98.15	44.98.41	辽宁省大连市
44.98.42	44.98.42	辽宁省大连市西岗区
44.98.43	44.98.45	辽宁省大连市
44.98.46	44.98.46	辽宁省大连市中山区
44.98.47	44.98.49	辽宁省大连市
44.98.50	44.98.50	辽宁省大连市西岗区
44.98.51	44.98.57	辽宁省大连市
44.98.58	44.98.58	辽宁省大连市中山区
44.98.59	44.98.61	辽宁省大连市
44.98.62	44.98.62	辽宁省大连市旅顺口区
44.98.63	44.98.81	辽宁省大连市
44.98.82	44.98.82	辽宁省大连市沙河口区
44.98.83	44.98.89	辽宁省大连市
44.98.90	44.98.90	辽宁省大连市沙河口区
44.98.91	44.98.101	辽宁省大连市
44.98.102	44.98.102	辽宁省大连市西岗区
44.98.103	44.98.113	辽宁省大连市
44.98.114	44.98.114	辽宁省大连市西岗区
44.98.115	44.98.121	辽宁省大连市
44.98.122	44.98.122	辽宁省大连市旅顺口区
44.98.123	44.98.193	辽宁省大连市
44.98.194	44.98.194	辽宁省大连市旅顺口区
44.98.195	44.98.197	辽宁省大连市
44.98.198	44.98.198	辽宁省大连市旅顺口区
44.98.199	44.98.205	辽宁省大连市
44.98.206	44.98.206	辽宁省大连市旅顺口区
44.98.207	44.98.209	辽宁省大连市
44.98.210	44.98.210	辽宁省大连市西岗区
44.98.211	44.98.213	辽宁省大连市
44.98.214	44.98.214	辽宁省大连市旅顺口区
44.98.215	44.98.217	辽宁省大连市
44.98.218	44.98.218	辽宁省大连市西岗区
44.98.219	44.98.221	辽宁省大连市
44.98.222	44.98.222	辽宁省大连市沙河口区
44.98.223	44.98.241	辽宁省大连市
44.98.242	44.98.242	辽宁省大连市西岗区
44.98.243	44.98.245	辽宁省大连市
44.98.246	44.98.246	辽宁省大连市西岗区
44.98.247	44.99.1	辽宁省大连市
44.99.2	44.99.2	辽宁省大连市开发区
44.99.3	44.99.9	辽宁省大连市
44.99.10	44.99.10	辽宁省大连市开发区
44.99.11	44.99.13	辽宁省大连市
44.99.14	44.99.14	辽宁省大连市开发区
44.99.15	44.99.17	辽宁省大连市
44.99.18	44.99.18	辽宁省大连市开发区
44.99.19	44.99.29	辽宁省大连市
44.99.30	44.99.30	辽宁省大连市开发区
44.99.31	44.99.45	辽宁省大连市
44.99.46	44.99.46	辽宁省大连市开发区
44.99.47	44.99.49	辽宁省大连市
44.99.50	44.99.50	辽宁省大连市开发区
44.99.51	44.99.53	辽宁省大连市
44.99.54	44.99.54	辽宁省大连市开发区
44.99.55	44.99.81	辽宁省大连市
44.99.82	44.99.82	辽宁省大连市开发区
44.99.83	44.99.85	辽宁省大连市
44.99.86	44.99.86	辽宁省大连市开发区
44.99.87	44.99.117	辽宁省大连市
44.99.118	44.99.118	辽宁省大连市开发区
44.99.119	44.99.153	辽宁省大连市
44.99.154	44.99.154	辽宁省大连市开发区
44.99.155	44.99.157	辽宁省大连市
44.99.158	44.99.158	辽宁省大连市开发区
44.99.159	44.99.169	辽宁省大连市
44.99.170	44.99.170	辽宁省大连市开发区
44.99.171	44.99.173	辽宁省大连市
44.99.174	44.99.174	辽宁省大连市开发区
44.99.175	44.99.185	辽宁省大连市
44.99.186	44.99.186	辽宁省大连市开发区
44.99.187	44.99.189	辽宁省大连市
44.99.190	44.99.190	辽宁省大连市开发区
44.99.191	44.99.197	辽宁省大连市
44.99.198	44.99.198	辽宁省大连市开发区
44.99.199	44.99.201	辽宁省大连市
44.99.202	44.99.202	辽宁省大连市开发区
44.99.203	44.99.209	辽宁省大连市
44.99.210	44.99.210	辽宁省大连市开发区
44.99.211	44.99.213	辽宁省大连市
44.99.214	44.99.214	辽宁省大连市开发区
44.99.215	44.99.217	辽宁省大连市
44.99.218	44.99.218	辽宁省大连市开发区
44.99.219	44.99.221	辽宁省大连市
44.99.222	44.99.222	辽宁省大连市开发区
44.99.223	44.99.233	辽宁省大连市
44.99.234	44.99.234	辽宁省大连市开发区
44.99.235	44.99.237	辽宁省大连市
44.99.238	44.99.238	辽宁省大连市开发区
44.99.239	44.99.241	辽宁省大连市
44.99.242	44.99.242	辽宁省大连市开发区
44.99.243	44.100.5	辽宁省大连市
44.100.6	44.100.6	辽宁省大连市西岗区
44.100.7	44.100.41	辽宁省大连市
44.100.42	44.100.42	辽宁省大连市中山区
44.100.43	44.100.45	辽宁省大连市
44.100.46	44.100.46	辽宁省大连市中山区
44.100.47	44.100.89	辽宁省大连市
44.100.90	44.100.90	辽宁省大连市西岗区
44.100.91	44.100.93	辽宁省大连市
44.100.94	44.100.94	辽宁省大连市中山区
44.100.95	44.100.97	辽宁省大连市
44.100.98	44.100.98	辽宁省大连市中山区
44.100.99	44.100.101	辽宁省大连市
44.100.102	44.100.102	辽宁省大连市西岗区
44.100.103	44.100.105	辽宁省大连市
44.100.106	44.100.106	辽宁省大连市中山区
44.100.107	44.100.109	辽宁省大连市
44.100.110	44.100.110	辽宁省大连市中山区
44.100.111	44.100.121	辽宁省大连市
44.100.122	44.100.122	辽宁省大连市中山区
44.100.123	44.100.125	辽宁省大连市
44.100.126	44.100.126	辽宁省大连市中山区
44.100.127	44.100.133	辽宁省大连市
44.100.134	44.100.134	辽宁省大连市中山区
44.100.135	44.100.145	辽宁省大连市
44.100.146	44.100.146	辽宁省大连市中山区
44.100.147	44.100.201	辽宁省大连市
44.100.202	44.100.202	辽宁省大连市中山区
44.100.203	44.100.217	辽宁省大连市
44.100.218	44.100.218	辽宁省大连市中山区
44.100.219	44.100.233	辽宁省大连市
44.100.234	44.100.234	辽宁省大连市中山区
44.100.235	44.100.237	辽宁省大连市
44.100.238	44.100.238	辽宁省大连市西岗区
44.100.239	44.100.245	辽宁省大连市
44.100.246	44.100.246	辽宁省大连市中山区
44.100.247	44.101.33	辽宁省大连市
44.101.34	44.101.34	辽宁省大连市中山区
44.101.35	44.101.53	辽宁省大连市
44.101.54	44.101.54	辽宁省大连市中山区
44.101.55	44.101.57	辽宁省大连市
44.101.58	44.101.58	辽宁省大连市中山区
44.101.59	44.102.221	辽宁省大连市
44.102.222	44.102.222	辽宁省大连市中山区
44.102.223	44.103.33	辽宁省大连市
44.103.34	44.103.34	辽宁省大连市中山区
44.103.35	44.103.41	辽宁省大连市
44.103.42	44.103.42	辽宁省大连市中山区
44.103.43	44.103.89	辽宁省大连市
44.103.90	44.103.90	辽宁省大连市中山区
44.103.91	44.103.97	辽宁省大连市
44.103.98	44.103.98	辽宁省大连市中山区
44.103.99	44.103.145	辽宁省大连市
44.103.146	44.103.146	辽宁省大连市中山区
44.103.147	44.103.149	辽宁省大连市
44.103.150	44.103.150	辽宁省大连市中山区
44.103.151	44.103.157	辽宁省大连市
44.103.158	44.103.158	辽宁省大连市中山区
44.103.159	44.103.161	辽宁省大连市
44.103.162	44.103.162	辽宁省大连市中山区
44.103.163	44.103.229	辽宁省大连市
44.103.230	44.103.230	辽宁省大连市中山区
44.103.231	44.103.241	辽宁省大连市
44.103.242	44.103.242	辽宁省大连市中山区
44.103.243	44.103.253	辽宁省大连市
44.103.254	44.103.254	辽宁省大连市中山区
44.103.*	44.104.17	辽宁省大连市
44.104.18	44.104.19	辽宁省大连市沙河口区
44.104.20	44.104.81	辽宁省大连市
44.104.82	44.104.82	辽宁省大连市沙河口区
44.104.83	44.104.101	辽宁省大连市
44.104.102	44.104.102	辽宁省大连市沙河口区
44.104.103	44.106.1	辽宁省大连市
44.106.2	44.106.2	辽宁省大连市中山区
44.106.3	44.106.5	辽宁省大连市
44.106.6	44.106.6	辽宁省大连市沙河口区
44.106.7	44.106.9	辽宁省大连市
44.106.10	44.106.10	辽宁省大连市沙河口区
44.106.11	44.106.13	辽宁省大连市
44.106.14	44.106.14	辽宁省大连市沙河口区
44.106.15	44.106.25	辽宁省大连市
44.106.26	44.106.26	辽宁省大连市沙河口区
44.106.27	44.106.29	辽宁省大连市
44.106.30	44.106.30	辽宁省大连市沙河口区
44.106.31	44.106.33	辽宁省大连市
44.106.34	44.106.34	辽宁省大连市西岗区
44.106.35	44.106.41	辽宁省大连市
44.106.42	44.106.42	辽宁省大连市沙河口区
44.106.43	44.106.45	辽宁省大连市
44.106.46	44.106.46	辽宁省大连市沙河口区
44.106.47	44.106.49	辽宁省大连市
44.106.50	44.106.50	辽宁省大连市沙河口区
44.106.51	44.106.61	辽宁省大连市
44.106.62	44.106.62	辽宁省大连市沙河口区
44.106.63	44.106.65	辽宁省大连市
44.106.66	44.106.66	辽宁省大连市西岗区
44.106.67	44.106.73	辽宁省大连市
44.106.74	44.106.74	辽宁省大连市沙河口区
44.106.75	44.106.77	辽宁省大连市
44.106.78	44.106.78	辽宁省大连市沙河口区
44.106.79	44.106.81	辽宁省大连市
44.106.82	44.106.82	辽宁省大连市沙河口区
44.106.83	44.106.85	辽宁省大连市
44.106.86	44.106.86	辽宁省大连市沙河口区
44.106.87	44.106.101	辽宁省大连市
44.106.102	44.106.102	辽宁省大连市沙河口区
44.106.103	44.106.105	辽宁省大连市
44.106.106	44.106.106	辽宁省大连市沙河口区
44.106.107	44.106.109	辽宁省大连市
44.106.110	44.106.110	辽宁省大连市沙河口区
44.106.111	44.106.113	辽宁省大连市
44.106.114	44.106.114	辽宁省大连市沙河口区
44.106.115	44.106.117	辽宁省大连市
44.106.118	44.106.118	辽宁省大连市沙河口区
44.106.119	44.106.121	辽宁省大连市
44.106.122	44.106.122	辽宁省大连市沙河口区
44.106.123	44.106.125	辽宁省大连市
44.106.126	44.106.126	辽宁省大连市沙河口区
44.106.127	44.106.133	辽宁省大连市
44.106.134	44.106.134	辽宁省大连市西岗区
44.106.135	44.106.137	辽宁省大连市
44.106.138	44.106.138	辽宁省大连市中山区
44.106.139	44.106.141	辽宁省大连市
44.106.142	44.106.142	辽宁省大连市西岗区
44.106.143	44.106.145	辽宁省大连市
44.106.146	44.106.146	辽宁省大连市沙河口区
44.106.147	44.106.149	辽宁省大连市
44.106.150	44.106.150	辽宁省大连市沙河口区
44.106.151	44.106.157	辽宁省大连市
44.106.158	44.106.158	辽宁省大连市甘井子区
44.106.159	44.106.161	辽宁省大连市
44.106.162	44.106.162	辽宁省大连市沙河口区
44.106.163	44.106.169	辽宁省大连市
44.106.170	44.106.170	辽宁省大连市沙河口区
44.106.171	44.106.177	辽宁省大连市
44.106.178	44.106.178	辽宁省大连市甘井子区
44.106.179	44.106.181	辽宁省大连市
44.106.182	44.106.182	辽宁省大连市西岗区
44.106.183	44.106.213	辽宁省大连市
44.106.214	44.106.214	辽宁省大连市甘井子区
44.106.215	44.106.217	辽宁省大连市
44.106.218	44.106.218	辽宁省大连市西岗区
44.106.219	44.106.229	辽宁省大连市
44.106.230	44.106.230	辽宁省大连市沙河口区
44.106.231	44.106.241	辽宁省大连市
44.106.242	44.106.242	辽宁省大连市沙河口区
44.106.243	44.106.253	辽宁省大连市
44.106.254	44.106.254	辽宁省大连市沙河口区
44.106.*	44.107.45	辽宁省大连市
44.107.46	44.107.46	辽宁省大连市西岗区
44.107.47	44.107.49	辽宁省大连市
44.107.50	44.107.50	辽宁省大连市沙河口区
44.107.51	44.107.53	辽宁省大连市
44.107.54	44.107.54	辽宁省大连市甘井子区
44.107.55	44.107.57	辽宁省大连市
44.107.58	44.107.58	辽宁省大连市甘井子区
44.107.59	44.107.81	辽宁省大连市
44.107.82	44.107.82	辽宁省大连市甘井子区
44.107.83	44.107.93	辽宁省大连市
44.107.94	44.107.94	辽宁省大连市沙河口区
44.107.95	44.107.97	辽宁省大连市
44.107.98	44.107.98	辽宁省大连市甘井子区
44.107.99	44.107.101	辽宁省大连市
44.107.102	44.107.102	辽宁省大连市沙河口区
44.107.103	44.107.113	辽宁省大连市
44.107.114	44.107.114	辽宁省大连市西岗区
44.107.115	44.107.121	辽宁省大连市
44.107.122	44.107.122	辽宁省大连市沙河口区
44.107.123	44.107.125	辽宁省大连市
44.107.126	44.107.126	辽宁省大连市沙河口区
44.107.127	44.107.129	辽宁省大连市
44.107.130	44.107.130	辽宁省大连市甘井子区
44.107.131	44.107.137	辽宁省大连市
44.107.138	44.107.138	辽宁省大连市沙河口区
44.107.139	44.107.141	辽宁省大连市
44.107.142	44.107.142	辽宁省大连市甘井子区
44.107.143	44.107.145	辽宁省大连市
44.107.146	44.107.146	辽宁省大连市甘井子区
44.107.147	44.107.149	辽宁省大连市
44.107.150	44.107.150	辽宁省大连市沙河口区
44.107.151	44.107.153	辽宁省大连市
44.107.154	44.107.154	辽宁省大连市沙河口区
44.107.155	44.107.161	辽宁省大连市
44.107.162	44.107.162	辽宁省大连市沙河口区
44.107.163	44.107.165	辽宁省大连市
44.107.166	44.107.166	辽宁省大连市沙河口区
44.107.167	44.107.169	辽宁省大连市
44.107.170	44.107.170	辽宁省大连市甘井子区
44.107.171	44.107.173	辽宁省大连市
44.107.174	44.107.174	辽宁省大连市沙河口区
44.107.175	44.107.177	辽宁省大连市
44.107.178	44.107.178	辽宁省大连市沙河口区
44.107.179	44.107.193	辽宁省大连市
44.107.194	44.107.194	辽宁省大连市沙河口区
44.107.195	44.107.197	辽宁省大连市
44.107.198	44.107.198	辽宁省大连市沙河口区
44.107.199	44.107.201	辽宁省大连市
44.107.202	44.107.202	辽宁省大连市甘井子区
44.107.203	44.107.209	辽宁省大连市
44.107.210	44.107.210	辽宁省大连市沙河口区
44.107.211	44.107.225	辽宁省大连市
44.107.226	44.107.226	辽宁省大连市沙河口区
44.107.227	44.107.229	辽宁省大连市
44.107.230	44.107.230	辽宁省大连市甘井子区
44.107.231	44.107.245	辽宁省大连市
44.107.246	44.107.246	辽宁省大连市沙河口区
44.107.247	44.107.249	辽宁省大连市
44.107.250	44.107.250	辽宁省大连市西岗区
44.107.251	44.107.253	辽宁省大连市
44.107.254	44.107.254	辽宁省大连市甘井子区
44.107.*	44.108.1	辽宁省大连市
44.108.2	44.108.2	辽宁省大连市庄河市
44.108.3	44.108.5	辽宁省大连市
44.108.6	44.108.6	辽宁省大连市庄河市
44.108.7	44.109.5	辽宁省大连市
44.109.6	44.109.6	辽宁省大连市甘井子区
44.109.7	44.109.21	辽宁省大连市
44.109.22	44.109.22	辽宁省大连市甘井子区
44.109.23	44.109.25	辽宁省大连市
44.109.26	44.109.26	辽宁省大连市甘井子区
44.109.27	44.109.29	辽宁省大连市
44.109.30	44.109.30	辽宁省大连市甘井子区
44.109.31	44.109.33	辽宁省大连市
44.109.34	44.109.34	辽宁省大连市甘井子区
44.109.35	44.109.37	辽宁省大连市
44.109.38	44.109.38	辽宁省大连市甘井子区
44.109.39	44.109.65	辽宁省大连市
44.109.66	44.109.66	辽宁省大连市甘井子区
44.109.67	44.109.73	辽宁省大连市
44.109.74	44.109.74	辽宁省大连市甘井子区
44.109.75	44.109.77	辽宁省大连市
44.109.78	44.109.78	辽宁省大连市甘井子区
44.109.79	44.109.89	辽宁省大连市
44.109.90	44.109.90	辽宁省大连市甘井子区
44.109.91	44.109.93	辽宁省大连市
44.109.94	44.109.94	辽宁省大连市甘井子区
44.109.95	44.109.97	辽宁省大连市
44.109.98	44.109.98	辽宁省大连市甘井子区
44.109.99	44.109.113	辽宁省大连市
44.109.114	44.109.114	辽宁省大连市甘井子区
44.109.115	44.109.121	辽宁省大连市
44.109.122	44.109.122	辽宁省大连市甘井子区
44.109.123	44.109.125	辽宁省大连市
44.109.126	44.109.126	辽宁省大连市甘井子区
44.109.127	44.109.129	辽宁省大连市
44.109.130	44.109.130	辽宁省大连市甘井子区
44.109.131	44.109.133	辽宁省大连市
44.109.134	44.109.134	辽宁省大连市甘井子区
44.109.135	44.109.137	辽宁省大连市
44.109.138	44.109.138	辽宁省大连市甘井子区
44.109.139	44.109.141	辽宁省大连市
44.109.142	44.109.142	辽宁省大连市甘井子区
44.109.143	44.109.161	辽宁省大连市
44.109.162	44.109.162	辽宁省大连市甘井子区
44.109.163	44.109.177	辽宁省大连市
44.109.178	44.109.178	辽宁省大连市甘井子区
44.109.179	44.109.181	辽宁省大连市
44.109.182	44.109.182	辽宁省大连市甘井子区
44.109.183	44.109.185	辽宁省大连市
44.109.186	44.109.186	辽宁省大连市甘井子区
44.109.187	44.109.189	辽宁省大连市
44.109.190	44.109.190	辽宁省大连市甘井子区
44.109.191	44.109.193	辽宁省大连市
44.109.194	44.109.194	辽宁省大连市甘井子区
44.109.195	44.109.213	辽宁省大连市
44.109.214	44.109.214	辽宁省大连市甘井子区
44.109.215	44.109.217	辽宁省大连市
44.109.218	44.109.218	辽宁省大连市甘井子区
44.109.219	44.109.221	辽宁省大连市
44.109.222	44.109.222	辽宁省大连市甘井子区
44.109.223	44.109.241	辽宁省大连市
44.109.242	44.109.242	辽宁省大连市甘井子区
44.109.243	44.109.249	辽宁省大连市
44.109.250	44.109.250	辽宁省大连市甘井子区
44.109.251	44.109.253	辽宁省大连市
44.109.254	44.109.254	辽宁省大连市甘井子区
44.109.*	44.110.1	辽宁省大连市
44.110.2	44.110.2	辽宁省大连市中山区
44.110.3	44.110.13	辽宁省大连市
44.110.14	44.110.14	辽宁省大连市沙河口区
44.110.15	44.110.25	辽宁省大连市
44.110.26	44.110.26	辽宁省大连市中山区
44.110.27	44.110.29	辽宁省大连市
44.110.30	44.110.30	辽宁省大连市西岗区
44.110.31	44.110.33	辽宁省大连市
44.110.34	44.110.34	辽宁省大连市中山区
44.110.35	44.110.37	辽宁省大连市
44.110.38	44.110.38	辽宁省大连市中山区
44.110.39	44.110.41	辽宁省大连市
44.110.42	44.110.42	辽宁省大连市西岗区
44.110.43	44.110.49	辽宁省大连市
44.110.50	44.110.50	辽宁省大连市西岗区
44.110.51	44.110.61	辽宁省大连市
44.110.62	44.110.62	辽宁省大连市西岗区
44.110.63	44.110.81	辽宁省大连市
44.110.82	44.110.82	辽宁省大连市中山区
44.110.83	44.110.85	辽宁省大连市
44.110.86	44.110.86	辽宁省大连市中山区
44.110.87	44.110.97	辽宁省大连市
44.110.98	44.110.98	辽宁省大连市中山区
44.110.99	44.110.101	辽宁省大连市
44.110.102	44.110.102	辽宁省大连市中山区
44.110.103	44.110.105	辽宁省大连市
44.110.106	44.110.106	辽宁省大连市中山区
44.110.107	44.110.113	辽宁省大连市
44.110.114	44.110.114	辽宁省大连市西岗区
44.110.115	44.110.117	辽宁省大连市
44.110.118	44.110.118	辽宁省大连市西岗区
44.110.119	44.110.129	辽宁省大连市
44.110.130	44.110.130	辽宁省大连市中山区
44.110.131	44.110.133	辽宁省大连市
44.110.134	44.110.134	辽宁省大连市西岗区
44.110.135	44.110.177	辽宁省大连市
44.110.178	44.110.178	辽宁省大连市中山区
44.110.179	44.112.1	辽宁省大连市
44.112.2	44.112.2	辽宁省大连市瓦房店市
44.112.3	44.112.17	辽宁省大连市
44.112.18	44.112.18	辽宁省大连市普兰店市
44.112.19	44.112.25	辽宁省大连市
44.112.26	44.112.26	辽宁省大连市普兰店市
44.112.27	44.112.29	辽宁省大连市
44.112.30	44.112.30	辽宁省大连市瓦房店市
44.112.31	44.112.41	辽宁省大连市
44.112.42	44.112.42	辽宁省大连市普兰店市
44.112.43	44.112.49	辽宁省大连市
44.112.50	44.112.50	辽宁省大连市普兰店市
44.112.51	44.112.53	辽宁省大连市
44.112.54	44.112.54	辽宁省大连市普兰店市
44.112.55	44.112.57	辽宁省大连市
44.112.58	44.112.58	辽宁省大连市普兰店市
44.112.59	44.112.61	辽宁省大连市
44.112.62	44.112.62	辽宁省大连市普兰店市
44.112.63	44.112.65	辽宁省大连市
44.112.66	44.112.66	辽宁省大连市瓦房店市
44.112.67	44.112.73	辽宁省大连市
44.112.74	44.112.74	辽宁省大连市普兰店市
44.112.75	44.112.77	辽宁省大连市
44.112.78	44.112.78	辽宁省大连市普兰店市
44.112.79	44.112.81	辽宁省大连市
44.112.82	44.112.82	辽宁省大连市普兰店市
44.112.83	44.112.97	辽宁省大连市
44.112.98	44.112.98	辽宁省大连市普兰店市
44.112.99	44.112.125	辽宁省大连市
44.112.126	44.112.126	辽宁省大连市普兰店市
44.112.127	44.112.133	辽宁省大连市
44.112.134	44.112.134	辽宁省大连市瓦房店市
44.112.135	44.112.137	辽宁省大连市
44.112.138	44.112.138	辽宁省大连市瓦房店市
44.112.139	44.112.169	辽宁省大连市
44.112.170	44.112.170	辽宁省大连市瓦房店市
44.112.171	44.112.173	辽宁省大连市
44.112.174	44.112.174	辽宁省大连市瓦房店市
44.112.175	44.114.1	辽宁省大连市
44.114.2	44.114.2	辽宁省大连市金州区
44.114.3	44.114.5	辽宁省大连市
44.114.6	44.114.6	辽宁省大连市甘井子区
44.114.7	44.114.25	辽宁省大连市
44.114.26	44.114.26	辽宁省大连市金州区
44.114.27	44.114.33	辽宁省大连市
44.114.34	44.114.34	辽宁省大连市金州区
44.114.35	44.114.49	辽宁省大连市
44.114.50	44.114.50	辽宁省大连市金州区
44.114.51	44.114.61	辽宁省大连市
44.114.62	44.114.62	辽宁省大连市甘井子区
44.114.63	44.114.65	辽宁省大连市
44.114.66	44.114.66	辽宁省大连市金州区
44.114.67	44.114.73	辽宁省大连市
44.114.74	44.114.74	辽宁省大连市金州区
44.114.75	44.114.81	辽宁省大连市
44.114.82	44.114.82	辽宁省大连市金州区
44.114.83	44.114.113	辽宁省大连市
44.114.114	44.114.114	辽宁省大连市金州区
44.114.115	44.114.125	辽宁省大连市
44.114.126	44.114.126	辽宁省大连市金州区
44.114.127	44.114.133	辽宁省大连市
44.114.134	44.114.134	辽宁省大连市金州区
44.114.135	44.114.137	辽宁省大连市
44.114.138	44.114.138	辽宁省大连市甘井子区
44.114.139	44.114.141	辽宁省大连市
44.114.142	44.114.142	辽宁省大连市金州区
44.114.143	44.114.153	辽宁省大连市
44.114.154	44.114.154	辽宁省大连市金州区
44.114.155	44.114.157	辽宁省大连市
44.114.158	44.114.158	辽宁省大连市金州区
44.114.159	44.114.201	辽宁省大连市
44.114.202	44.114.202	辽宁省大连市甘井子区
44.114.203	44.114.225	辽宁省大连市
44.114.226	44.114.226	辽宁省大连市甘井子区
44.114.227	44.114.229	辽宁省大连市
44.114.230	44.114.230	辽宁省大连市金州区
44.114.231	44.114.237	辽宁省大连市
44.114.238	44.114.238	辽宁省大连市金州区
44.114.239	44.114.253	辽宁省大连市
44.114.254	44.114.254	辽宁省大连市金州区
44.114.*	44.115.1	辽宁省大连市
44.115.2	44.115.2	辽宁省大连市金州区
44.115.3	44.115.9	辽宁省大连市
44.115.10	44.115.10	辽宁省大连市甘井子区
44.115.11	44.115.13	辽宁省大连市
44.115.14	44.115.14	辽宁省大连市金州区
44.115.15	44.115.17	辽宁省大连市
44.115.18	44.115.18	辽宁省大连市甘井子区
44.115.19	44.115.21	辽宁省大连市
44.115.22	44.115.22	辽宁省大连市甘井子区
44.115.23	44.115.29	辽宁省大连市
44.115.30	44.115.30	辽宁省大连市甘井子区
44.115.31	44.115.37	辽宁省大连市
44.115.38	44.115.38	辽宁省大连市甘井子区
44.115.39	44.115.81	辽宁省大连市
44.115.82	44.115.82	辽宁省大连市金州区
44.115.83	44.116.1	辽宁省大连市
44.116.2	44.116.2	辽宁省大连市甘井子区
44.116.3	44.116.17	辽宁省大连市
44.116.18	44.116.18	辽宁省大连市甘井子区
44.116.19	44.116.25	辽宁省大连市
44.116.26	44.116.26	辽宁省大连市甘井子区
44.116.27	44.116.29	辽宁省大连市
44.116.30	44.116.30	辽宁省大连市沙河口区
44.116.31	44.116.33	辽宁省大连市
44.116.34	44.116.34	辽宁省大连市沙河口区
44.116.35	44.116.41	辽宁省大连市
44.116.42	44.116.42	辽宁省大连市沙河口区
44.116.43	44.116.45	辽宁省大连市
44.116.46	44.116.46	辽宁省大连市甘井子区
44.116.47	44.116.53	辽宁省大连市
44.116.54	44.116.54	辽宁省大连市甘井子区
44.116.55	44.116.57	辽宁省大连市
44.116.58	44.116.58	辽宁省大连市甘井子区
44.116.59	44.116.65	辽宁省大连市
44.116.66	44.116.66	辽宁省大连市沙河口区
44.116.67	44.116.69	辽宁省大连市
44.116.70	44.116.70	辽宁省大连市甘井子区
44.116.71	44.116.73	辽宁省大连市
44.116.74	44.116.74	辽宁省大连市沙河口区
44.116.75	44.116.77	辽宁省大连市
44.116.78	44.116.78	辽宁省大连市沙河口区
44.116.79	44.116.81	辽宁省大连市
44.116.82	44.116.82	辽宁省大连市沙河口区
44.116.83	44.116.85	辽宁省大连市
44.116.86	44.116.86	辽宁省大连市沙河口区
44.116.87	44.116.93	辽宁省大连市
44.116.94	44.116.94	辽宁省大连市沙河口区
44.116.95	44.116.145	辽宁省大连市
44.116.146	44.116.146	辽宁省大连市甘井子区
44.116.147	44.116.149	辽宁省大连市
44.116.150	44.116.150	辽宁省大连市沙河口区
44.116.151	44.116.157	辽宁省大连市
44.116.158	44.116.158	辽宁省大连市甘井子区
44.116.159	44.116.169	辽宁省大连市
44.116.170	44.116.170	辽宁省大连市沙河口区
44.116.171	44.116.173	辽宁省大连市
44.116.174	44.116.174	辽宁省大连市沙河口区
44.116.175	44.116.249	辽宁省大连市
44.116.250	44.116.250	辽宁省大连市甘井子区
44.116.251	44.117.129	辽宁省大连市
44.117.130	44.117.130	辽宁省大连市沙河口区
44.117.131	44.118.41	辽宁省大连市
44.118.42	44.118.42	辽宁省大连市沙河口区
44.118.43	44.118.73	辽宁省大连市
44.118.74	44.118.74	辽宁省大连市沙河口区
44.118.75	44.118.77	辽宁省大连市
44.118.78	44.118.78	辽宁省大连市甘井子区
44.118.79	44.118.81	辽宁省大连市
44.118.82	44.118.82	辽宁省大连市甘井子区
