
0.0.0	0.7.*	泰国
159.137.0	159.137.*	黑龙江省七台河市
159.138.0	159.143.*	黑龙江省
159.144.0	159.154.*	黑龙江省伊春市
159.155.0	159.191.*	黑龙江省
159.192.0	159.*.*	黑龙江省哈尔滨市
160.0.0	187.*.*	印度
188.0.0	191.*.*	亚太地区
192.0.0	192.23.*	江苏省
192.24.0	192.25.*	江苏省徐州市
192.26.0	192.38.*	江苏省
192.39.0	192.42.*	江苏省南京市
192.43.0	192.151.*	江苏省
192.152.0	192.155.*	江苏省徐州市
192.156.0	192.169.*	江苏省
192.170.0	192.170.*	江苏省南京市
192.171.0	192.199.*	江苏省
192.200.0	192.223.*	江苏省徐州市
192.224.0	192.238.*	江苏省
192.239.0	192.*.*	江苏省连云港市
193.0.0	193.7.*	江苏省南京市
193.8.0	193.9.*	江苏省苏州市
193.10.0	193.10.*	江苏省
193.11.0	193.11.*	江苏省扬州市
193.12.0	193.31.*	江苏省
193.32.0	193.111.*	江苏省苏州市
193.112.0	193.119.*	江苏省
193.120.0	193.187.*	江苏省无锡市
193.188.0	193.215.*	江苏省
193.216.0	193.231.*	江苏省南通市
193.232.0	194.2.*	江苏省
194.3.0	194.3.*	江苏省盐城市
194.4.0	194.15.*	江苏省
194.16.0	194.77.*	江苏省镇江市
194.78.0	194.84.*	江苏省
194.85.0	194.85.*	江苏省泰州市
194.86.0	194.87.*	江苏省
194.88.0	194.89.*	江苏省泰兴市
194.90.0	194.90.*	江苏省靖江市
194.91.0	194.95.*	江苏省泰兴市
194.96.0	194.120.*	江苏省泰州市
194.121.0	194.206.*	江苏省徐州市
194.207.0	194.215.*	江苏省
194.216.0	194.239.*	江苏省连云港市
194.240.0	194.*.*	江苏省
195.0.0	195.0.*	江苏省淮安市
195.1.0	195.7.*	江苏省
195.8.0	195.13.*	江苏省常州市
195.14.0	195.71.*	江苏省
195.72.0	195.75.*	江苏省常州市
195.76.0	195.76.*	江苏省常州市金坛市
195.77.0	195.79.*	江苏省常州市
195.80.0	195.87.*	江苏省
195.88.0	195.110.*	江苏省扬州市
195.111.0	195.111.*	江苏省江都市
195.112.0	195.151.*	江苏省扬州市
195.152.0	195.155.209	江苏省宿迁市
195.155.210	195.155.211	江苏省宿迁市沭阳县
195.155.212	195.161.*	江苏省宿迁市
195.162.0	195.215.*	江苏省
195.216.0	195.*.*	江苏省淮安市
196.0.0	197.*.*	日本
198.0.0	198.5.*	广东省深圳市
198.6.0	198.6.*	广东省梅州市
198.7.0	198.15.*	广东省深圳市
198.16.0	198.16.*	广东省阳江市
198.17.0	198.17.*	广东省梅州市
198.18.0	198.19.*	广东省潮州市
198.20.0	198.22.*	广东省梅州市
198.23.0	198.31.*	广东省深圳市
198.32.0	198.33.*	海南省海口市
198.34.0	198.37.*	福建省
198.38.0	198.42.*	浙江省台州市
198.43.0	198.43.*	福建省
198.44.0	198.63.*	浙江省台州市
198.64.0	198.80.31	重庆市
198.80.32	198.80.32	重庆市渝中区
198.80.33	198.80.*	重庆市
198.81.0	198.213.*	中国
198.214.0	198.214.*	福建省福州市
198.215.0	198.*.*	中国
199.0.0	199.63.*	澳大利亚
199.64.0	199.*.*	韩国
200.0.0	200.15.*	印度尼西亚
200.16.0	200.23.*	印度
200.24.0	200.31.*	澳大利亚
200.32.0	200.39.*	日本
200.40.0	200.47.*	孟加拉
200.48.0	200.55.*	印度尼西亚
200.56.0	200.63.*	澳大利亚
200.64.0	200.127.*	北京市
200.128.0	200.131.*	亚太地区
200.132.0	200.135.*	香港
200.136.0	200.143.*	日本
200.144.0	200.151.*	印度尼西亚
200.152.0	200.159.*	台湾省
200.160.0	200.175.*	澳大利亚
200.176.0	200.191.*	亚太地区
200.192.0	201.7.*	日本
201.8.0	201.15.*	越南
201.16.0	201.31.*	蒙古
201.32.0	201.47.*	香港
201.48.0	201.63.*	亚太地区
201.64.0	201.127.*	澳大利亚
201.128.0	201.*.*	台湾省
202.0.0	202.15.*	亚太地区
202.16.0	202.31.*	日本
202.32.0	202.63.*	韩国
202.64.0	202.79.*	澳大利亚
202.80.0	202.95.*	亚太地区
202.96.0	202.127.*	菲律宾
202.128.0	203.*.*	韩国
204.0.0	204.95.*	湖北省武汉市
204.96.0	204.111.*	湖北省襄樊市
204.112.0	204.127.*	湖北省黄冈市
204.128.0	204.231.*	湖北省武汉市
204.232.0	204.239.*	湖北省咸宁市
204.240.0	204.*.*	湖北省黄冈市
205.0.0	205.103.*	湖北省武汉市
205.104.0	205.111.*	中国
205.112.0	205.143.*	湖北省武汉市
205.144.0	205.*.*	中国
206.0.0	206.79.*	河南省焦作市
206.80.0	206.83.*	河南省郑州市
206.84.0	206.85.*	河南省信阳市
206.86.0	206.87.*	河南省郑州市
206.88.0	206.91.*	河南省新乡市
206.92.0	206.127.*	河南省郑州市
206.128.0	206.143.*	河南省开封市
206.144.0	206.159.*	河南省周口市
206.160.0	206.191.*	河南省郑州市
206.192.0	206.*.*	河南省新乡市
207.0.0	207.1.*	湖南省长沙市
207.2.0	207.15.*	中国
207.16.0	207.63.*	湖南省长沙市
207.64.0	207.*.*	中国
208.0.0	223.*.*	日本
224.0.0	224.32.*	浙江省绍兴市
224.33.0	224.166.137	浙江省杭州市
224.166.138	224.166.189	安徽省铜陵市
224.166.190	224.186.*	浙江省杭州市
224.187.0	224.188.*	福建省
224.189.0	224.194.*	浙江省杭州市
224.195.0	224.195.*	浙江省嘉兴市
224.196.0	224.*.*	浙江省杭州市
225.0.0	225.3.8	浙江省嘉兴市
225.3.9	225.3.9	新疆
225.3.10	225.10.*	浙江省嘉兴市
225.11.0	225.11.*	浙江省杭州市
225.12.0	225.63.*	浙江省嘉兴市
225.64.0	225.95.*	浙江省
225.96.0	225.123.*	浙江省湖州市
225.124.0	225.231.253	浙江省杭州市
225.231.254	225.231.254	浙江省杭州市富阳市
225.231.*	225.231.*	浙江省杭州市
225.232.0	225.241.*	浙江省
225.242.0	225.242.*	浙江省金华市
225.243.0	225.247.*	浙江省
225.248.0	225.*.*	浙江省宁波市
226.0.0	226.31.*	浙江省舟山市
226.32.0	226.127.*	浙江省
226.128.0	226.148.171	浙江省台州市
226.148.172	226.148.172	浙江省台州市温岭市
226.148.173	226.195.133	浙江省台州市
226.195.134	226.208.*	浙江省金华市
226.209.0	226.209.*	浙江省义乌市
226.210.0	226.221.145	浙江省金华市
226.221.146	226.221.146	浙江省义乌市
226.221.147	226.231.*	浙江省金华市
226.232.0	226.*.*	浙江省台州市
227.0.0	227.3.201	浙江省金华市
227.3.202	227.3.202	浙江省金华市永康市
227.3.203	227.7.45	浙江省金华市
227.7.46	227.7.46	浙江省金华市义乌市
227.7.47	227.8.25	浙江省金华市
227.8.26	227.8.26	浙江省金华市义乌市
227.8.27	227.36.*	浙江省金华市
227.37.0	227.37.*	浙江省永康市
227.38.0	227.51.217	浙江省金华市
227.51.218	227.51.218	浙江省金华市义乌市
227.51.219	227.63.*	浙江省金华市
227.64.0	227.127.*	浙江省衢州市
227.128.0	227.150.229	浙江省宁波市
227.150.230	227.150.230	浙江省宁波市慈溪市
227.150.231	227.191.195	浙江省宁波市
227.191.196	227.191.199	浙江省宁波市慈溪市
227.191.200	227.219.*	浙江省宁波市
227.220.0	227.*.*	浙江省杭州市
228.0.0	228.*.*	浙江省温州市
229.0.0	229.54.*	浙江省杭州市
229.55.0	229.78.*	浙江省宁波市
229.79.0	229.79.*	浙江省台州市
229.80.0	229.94.*	浙江省宁波市
229.95.0	229.120.*	浙江省杭州市
229.121.0	229.121.*	浙江省舟山市
229.122.0	229.138.*	浙江省杭州市
229.139.0	229.175.*	浙江省宁波市
229.176.0	229.176.*	浙江省杭州市
229.177.0	229.199.*	浙江省宁波市
229.200.0	229.200.*	浙江省温州市
229.201.0	229.226.*	浙江省宁波市
229.227.0	229.*.*	浙江省杭州市
230.0.0	230.*.*	浙江省湖州市
231.0.0	232.*.*	浙江省嘉兴市
233.0.0	233.127.*	浙江省杭州市
233.128.0	233.141.*	浙江省宁波市
233.142.0	233.143.*	浙江省杭州市
233.144.0	233.144.*	浙江省台州市
233.145.0	235.*.*	浙江省杭州市
236.0.0	237.*.*	浙江省绍兴市
238.0.0	240.202.*	浙江省温州市
240.203.0	240.203.*	浙江省绍兴市
240.204.0	240.212.*	浙江省温州市
240.213.0	240.213.*	浙江省金华市
240.214.0	240.215.*	浙江省温州市
240.216.0	240.216.*	浙江省嘉兴市
240.217.0	240.220.*	浙江省温州市
240.221.0	240.221.*	浙江省嘉兴市
240.222.0	240.222.*	浙江省绍兴市
240.223.0	240.223.*	浙江省温州市
240.224.0	240.224.*	浙江省湖州市
240.225.0	240.225.*	浙江省绍兴市
240.226.0	240.226.*	浙江省湖州市
240.227.0	240.227.*	浙江省温州市
240.228.0	240.229.*	浙江省湖州市
240.230.0	240.230.*	浙江省绍兴市
240.231.0	240.231.*	浙江省杭州市
240.232.0	240.232.*	浙江省温州市
240.233.0	240.233.*	浙江省金华市
240.234.0	240.239.*	浙江省温州市
240.240.0	240.240.*	浙江省嘉兴市
240.241.0	240.252.*	浙江省温州市
240.253.0	240.253.*	浙江省舟山市
240.254.0	240.*.*	浙江省温州市
241.0.0	241.*.*	浙江省丽水市
242.0.0	243.*.*	浙江省金华市
244.0.0	246.*.*	浙江省宁波市
247.0.0	247.*.*	浙江省
248.0.0	248.15.*	孟加拉
248.16.0	248.31.*	香港
248.32.0	248.47.*	亚太地区
248.48.0	248.63.*	吉林省吉林市
248.64.0	248.95.*	日本
248.96.0	248.*.*	亚太地区
249.0.0	251.*.*	日本
252.0.0	252.23.*	澳大利亚
252.24.0	252.31.*	新加坡
252.32.0	252.63.*	日本
252.64.0	252.127.*	韩国
252.128.0	252.143.*	日本
252.144.0	252.151.*	澳大利亚
252.152.0	252.159.*	亚太地区
252.160.0	252.175.*	台湾省
252.176.0	252.183.*	柬埔寨
252.184.0	252.191.*	亚太地区
252.192.0	252.223.*	韩国
252.224.0	252.*.*	印度
253.0.0	253.*.*	日本
254.0.0	254.63.*	台湾省
254.64.0	254.127.*	蒙古
254.128.0	254.*.*	韩国
*.0.0	*.63.*	斯里兰卡
*.64.0	*.71.*	亚太地区
*.72.0	*.75.*	印度
*.76.0	*.79.*	亚太地区
*.80.0	*.95.*	台湾省
*.96.0	*.127.*	马来西亚
*.128.0	*.*.*	日本
